onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	-1	-1	1	0.824	-1
36	16	1	2	0	faces	1	-1	0	0.519	3
52	16	1	3	0	faces	1	1	1	0.239	3
68	16	1	4	0	scenes	1	1	1	0.296	3
84	16	1	5	0	faces	1	1	1	0.326	4
100	16	1	6	0	faces	1	-1	0	0.359	3
116	16	1	7	0	scenes	1	1	1	0.278	3
132	16	1	8	0	faces	1	1	1	0.414	3
148	16	1	9	0	scenes	1	1	1	0.485	4
164	16	1	10	0	faces	1	1	1	0.421	5
180	16	1	11	0	scenes	1	-1	0	0.62	5
196	16	1	12	0	scenes	1	1	1	0.661	6
212	16	1	13	0	faces	-1	1	0	0.395	-1
228	16	1	14	0	faces	1	1	1	0.587	6
244	16	1	15	0	scenes	1	-1	0	0.508	5
260	16	1	16	0	scenes	-1	-1	1	0.523	-1
276	16	1	17	0	scenes	1	1	1	0.531	6
292	16	1	18	0	faces	-1	-1	1	0.619	-1
308	16	1	19	0	scenes	-1	-1	1	0.458	-1
324	16	1	20	0	scenes	-1	-1	1	0.586	-1
