onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.449	3
36	16	2	2	0	scenes	-1	-1	1	0.855	-1
52	16	2	3	0	faces	-1	-1	1	0.551	-1
68	16	2	4	0	faces	1	1	1	0.471	3
84	16	2	5	0	faces	-1	-1	1	0.863	-1
100	16	2	6	0	faces	1	-1	0	0.686	6
116	16	2	7	0	faces	-1	-1	1	0.782	-1
132	16	2	8	0	scenes	-1	-1	1	0.822	-1
148	16	2	9	0	faces	1	1	1	0.485	3
164	16	2	10	0	faces	1	1	1	0.437	4
180	16	2	11	0	scenes	1	1	1	0.716	6
196	16	2	12	0	faces	1	1	1	0.453	4
212	16	2	13	0	scenes	-1	1	0	0.58	-1
228	16	2	14	0	scenes	1	1	1	0.62	3
244	16	2	15	0	scenes	1	1	1	0.828	5
260	16	2	16	0	scenes	1	1	1	0.476	5
276	16	2	17	0	faces	-1	-1	1	0.595	-1
292	16	2	18	0	scenes	1	1	1	0.587	6
308	16	2	19	0	scenes	-1	1	0	0.515	-1
324	16	2	20	0	scenes	1	-1	0	0.739	5
