onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	top	-1	1	0	0.471	-1
40	20	1	2	0	stay	scene	top	-1	1	0	0.743	-1
60	28	1	3	0	switch	scene	bottom	1	1	1	0.486	4
88	20	1	4	0	stay	scene	bottom	1	1	1	0.607	6
108	20	1	5	0	stay	scene	bottom	1	1	1	0.414	3
128	28	1	6	0	switch	scene	bottom	1	1	1	0.869	3
156	20	1	7	0	stay	scene	bottom	-1	0	0	0	-1
176	20	1	8	0	stay	scene	top	1	-1	0	0.75	5
196	28	1	9	0	switch	scene	top	-1	-1	1	0.445	-1
224	28	1	10	0	switch	scene	bottom	1	-1	0	0.501	6
252	20	1	11	0	stay	scene	top	1	1	1	0.614	6
272	20	1	12	0	stay	scene	bottom	-1	-1	1	0.732	-1
292	20	1	13	0	stay	scene	top	1	1	1	0.483	6
312	20	1	14	0	stay	scene	bottom	1	1	1	0.445	5
332	20	1	15	0	stay	scene	bottom	-1	-1	1	0.53	-1
352	20	1	16	0	stay	scene	top	-1	1	0	0.45	-1
372	28	1	17	0	switch	scene	top	-1	-1	1	0.515	-1
400	28	1	18	0	switch	scene	top	-1	-1	1	0.434	-1
