onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	scenes	-1	1	0	0.432	-1
36	16	4	2	0	scenes	1	1	1	0.544	6
52	16	4	3	0	faces	-1	-1	1	0.488	-1
68	16	4	4	0	faces	-1	-1	1	0.543	-1
84	16	4	5	0	scenes	-1	-1	1	0.558	-1
100	16	4	6	0	faces	-1	0	0	0	-1
116	16	4	7	0	scenes	-1	-1	1	0.605	-1
132	16	4	8	0	faces	-1	-1	1	0.533	-1
148	16	4	9	0	scenes	-1	-1	1	0.59	-1
164	16	4	10	0	scenes	-1	-1	1	0.668	-1
180	16	4	11	0	faces	-1	-1	1	0.646	-1
196	16	4	12	0	scenes	1	1	1	0.469	6
212	16	4	13	0	faces	-1	-1	1	0.508	-1
228	16	4	14	0	faces	-1	-1	1	0.5	-1
244	16	4	15	0	scenes	-1	-1	1	0.692	-1
260	16	4	16	0	faces	1	1	1	0.355	5
276	16	4	17	0	faces	1	1	1	0.355	4
292	16	4	18	0	faces	1	-1	0	0.626	6
308	16	4	19	0	scenes	1	1	1	0.394	4
324	16	4	20	0	scenes	-1	-1	1	0.514	-1
