onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	1	1	1	0.464	5
36	16	1	2	0	faces	-1	-1	1	0.599	-1
52	16	1	3	0	faces	1	1	1	0.566	4
68	16	1	4	0	scenes	1	1	1	0.614	3
84	16	1	5	0	faces	1	1	1	0.574	4
100	16	1	6	0	scenes	1	1	1	0.437	5
116	16	1	7	0	scenes	1	1	1	0.486	5
132	16	1	8	0	scenes	1	1	1	0.644	6
148	16	1	9	0	scenes	1	1	1	0.581	6
164	16	1	10	0	scenes	1	-1	0	0.548	5
180	16	1	11	0	faces	-1	-1	1	0.637	-1
196	16	1	12	0	faces	1	1	1	0.532	6
212	16	1	13	0	faces	1	1	1	0.427	3
228	16	1	14	0	faces	1	1	1	0.5	6
244	16	1	15	0	scenes	1	1	1	0.78	4
260	16	1	16	0	scenes	-1	-1	1	0.619	-1
276	16	1	17	0	faces	-1	-1	1	0.682	-1
292	16	1	18	0	faces	1	-1	0	0.842	3
308	16	1	19	0	scenes	-1	-1	1	0.786	-1
324	16	1	20	0	scenes	-1	-1	1	0.682	-1
