onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	bottom	1	1	1	0.487	3
40	28	4	2	0	switch	scene	top	1	-1	0	0.302	4
68	20	4	3	0	stay	scene	bottom	1	1	1	0.407	6
88	20	4	4	0	stay	scene	top	-1	-1	1	0.551	-1
108	20	4	5	0	stay	scene	top	1	1	1	0.359	4
128	28	4	6	0	switch	scene	top	1	0	0	0	4
156	20	4	7	0	stay	scene	top	1	0	0	0	5
176	20	4	8	0	stay	scene	top	1	1	1	0.501	3
196	28	4	9	0	switch	scene	bottom	-1	1	0	0.669	-1
224	20	4	10	0	stay	scene	top	-1	1	0	0.404	-1
244	20	4	11	0	stay	scene	bottom	-1	1	0	0.421	-1
264	20	4	12	0	stay	scene	bottom	-1	1	0	0.869	-1
284	28	4	13	0	switch	scene	top	1	1	1	0.499	5
312	20	4	14	0	stay	scene	top	-1	1	0	0.404	-1
332	28	4	15	0	switch	scene	bottom	-1	-1	1	0.435	-1
360	20	4	16	0	stay	scene	bottom	-1	-1	1	0.491	-1
380	28	4	17	0	switch	scene	bottom	-1	-1	1	0.393	-1
408	20	4	18	0	stay	scene	bottom	1	1	1	0.457	4
