onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	scenes	1	1	1	0.487	5
36	16	1	2	0	scenes	1	1	1	0.455	5
52	16	1	3	0	scenes	-1	-1	1	0.519	-1
68	16	1	4	0	faces	1	-1	0	0.807	5
84	16	1	5	0	faces	1	1	1	0.478	4
100	16	1	6	0	scenes	1	1	1	0.495	6
116	16	1	7	0	faces	1	1	1	0.526	3
132	16	1	8	0	faces	-1	-1	1	0.62	-1
148	16	1	9	0	scenes	-1	-1	1	0.733	-1
164	16	1	10	0	scenes	-1	-1	1	0.621	-1
180	16	1	11	0	scenes	1	0	0	0	3
196	16	1	12	0	faces	1	1	1	0.556	3
212	16	1	13	0	scenes	1	1	1	0.9	3
228	16	1	14	0	faces	-1	1	0	0.612	-1
244	16	1	15	0	faces	1	1	1	0.635	3
260	16	1	16	0	faces	-1	-1	1	0.555	-1
276	16	1	17	0	faces	1	1	1	0.546	4
292	16	1	18	0	faces	1	1	1	0.61	3
308	16	1	19	0	scenes	1	1	1	0.785	5
324	16	1	20	0	scenes	1	1	1	0.474	3
