onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.663	3
36	16	2	2	0	faces	1	1	1	0.623	3
52	16	2	3	0	scenes	1	-1	0	0.543	6
68	16	2	4	0	scenes	-1	-1	1	0.608	-1
84	16	2	5	0	faces	-1	1	0	0.591	-1
100	16	2	6	0	scenes	-1	-1	1	0.67	-1
116	16	2	7	0	faces	-1	-1	1	0.582	-1
132	16	2	8	0	faces	-1	-1	1	0.934	-1
148	16	2	9	0	scenes	-1	-1	1	0.797	-1
164	16	2	10	0	faces	-1	1	0	0.558	-1
180	16	2	11	0	scenes	-1	0	0	0	-1
196	16	2	12	0	faces	1	1	1	0.565	6
212	16	2	13	0	scenes	-1	1	0	0.924	-1
228	16	2	14	0	faces	1	1	1	0.5	6
244	16	2	15	0	faces	-1	1	0	0.58	-1
260	16	2	16	0	scenes	1	1	1	0.795	6
276	16	2	17	0	scenes	-1	-1	1	0.628	-1
292	16	2	18	0	scenes	1	-1	0	0.659	3
308	16	2	19	0	scenes	1	1	1	0.467	4
324	16	2	20	0	faces	-1	-1	1	0.681	-1
