onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	bottom	1	1	1	0.709	3
40	28	1	2	0	switch	scene	top	-1	-1	1	0.435	-1
68	20	1	3	0	stay	scene	top	1	0	0	0	5
88	28	1	4	0	switch	scene	top	-1	-1	1	0.326	-1
116	20	1	5	0	stay	scene	top	1	-1	0	0.696	4
136	20	1	6	0	stay	scene	bottom	-1	-1	1	0.568	-1
156	28	1	7	0	switch	scene	bottom	1	1	1	0.393	3
184	28	1	8	0	switch	scene	top	-1	-1	1	0.432	-1
212	28	1	9	0	switch	scene	bottom	1	1	1	0.52	3
240	28	1	10	0	switch	scene	bottom	1	1	1	0.399	3
268	20	1	11	0	stay	scene	bottom	1	1	1	0.535	6
288	20	1	12	0	stay	scene	top	1	-1	0	0.711	3
308	20	1	13	0	stay	scene	bottom	1	1	1	0.438	5
328	20	1	14	0	stay	scene	bottom	-1	1	0	0.431	-1
348	20	1	15	0	stay	scene	bottom	-1	1	0	0.534	-1
368	20	1	16	0	stay	scene	top	-1	-1	1	0.462	-1
388	20	1	17	0	stay	scene	top	-1	-1	1	0.598	-1
408	20	1	18	0	stay	scene	top	-1	1	0	0.421	-1
