onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	bottom	-1	-1	1	0.584	-1
40	28	5	2	0	switch	scene	top	-1	-1	1	0.407	-1
68	20	5	3	0	stay	scene	top	-1	-1	1	0.472	-1
88	20	5	4	0	stay	scene	top	1	0	0	0	6
108	20	5	5	0	stay	scene	top	-1	-1	1	0.408	-1
128	20	5	6	0	stay	scene	bottom	1	1	1	0.646	6
148	20	5	7	0	stay	scene	bottom	-1	-1	1	0.422	-1
168	20	5	8	0	stay	scene	bottom	-1	-1	1	0.366	-1
188	28	5	9	0	switch	scene	top	-1	-1	1	0.422	-1
216	20	5	10	0	stay	scene	top	1	1	1	0.406	4
236	28	5	11	0	switch	scene	bottom	1	1	1	0.422	3
264	20	5	12	0	stay	scene	top	-1	-1	1	0.444	-1
284	20	5	13	0	stay	scene	bottom	1	1	1	0.462	6
304	20	5	14	0	stay	scene	top	1	1	1	0.477	3
324	28	5	15	0	switch	scene	bottom	1	1	1	0.555	3
352	20	5	16	0	stay	scene	bottom	1	1	1	0.532	6
372	28	5	17	0	switch	scene	bottom	1	1	1	0.427	4
400	28	5	18	0	switch	scene	top	-1	-1	1	0.603	-1
