onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	1	-1	0	0.575	6
36	16	4	2	0	faces	-1	1	0	0.583	-1
52	16	4	3	0	scenes	-1	-1	1	0.519	-1
68	16	4	4	0	scenes	1	1	1	0.494	5
84	16	4	5	0	faces	-1	-1	1	0.526	-1
100	16	4	6	0	faces	-1	-1	1	0.901	-1
116	16	4	7	0	scenes	1	0	0	0	4
132	16	4	8	0	scenes	1	1	1	0.469	4
148	16	4	9	0	faces	1	1	1	0.453	4
164	16	4	10	0	faces	1	1	1	0.445	4
180	16	4	11	0	scenes	1	1	1	0.556	6
196	16	4	12	0	scenes	-1	0	0	0	-1
212	16	4	13	0	scenes	-1	-1	1	0.499	-1
228	16	4	14	0	scenes	1	1	1	0.442	4
244	16	4	15	0	faces	-1	-1	1	0.618	-1
260	16	4	16	0	faces	1	1	1	0.474	6
276	16	4	17	0	faces	-1	-1	1	0.515	-1
292	16	4	18	0	scenes	-1	-1	1	0.467	-1
308	16	4	19	0	scenes	-1	0	0	0	-1
324	16	4	20	0	faces	1	1	1	0.633	4
