onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	-1	-1	1	0.528	-1
36	16	3	2	0	faces	1	1	1	0.519	4
52	16	3	3	0	scenes	-1	-1	1	0.535	-1
68	16	3	4	0	scenes	1	1	1	0.479	4
84	16	3	5	0	scenes	-1	1	0	0.487	-1
100	16	3	6	0	faces	1	1	1	0.582	3
116	16	3	7	0	faces	-1	-1	1	0.646	-1
132	16	3	8	0	scenes	1	1	1	0.454	6
148	16	3	9	0	faces	-1	-1	1	0.469	-1
164	16	3	10	0	faces	-1	-1	1	0.868	-1
180	16	3	11	0	scenes	1	-1	0	0.86	4
196	16	3	12	0	faces	-1	1	0	0.484	-1
212	16	3	13	0	faces	-1	-1	1	0.572	-1
228	16	3	14	0	scenes	-1	-1	1	0.698	-1
244	16	3	15	0	scenes	-1	1	0	0.436	-1
260	16	3	16	0	faces	1	1	1	0.458	3
276	16	3	17	0	faces	1	0	0	0	5
292	16	3	18	0	scenes	-1	-1	1	0.489	-1
308	16	3	19	0	scenes	-1	-1	1	0.507	-1
324	16	3	20	0	scenes	1	-1	0	0.714	4
