onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	bottom	1	-1	0	0.584	3
40	20	6	2	0	stay	scene	bottom	-1	-1	1	0.4	-1
60	28	6	3	0	switch	scene	top	1	1	1	0.416	5
88	28	6	4	0	switch	scene	bottom	-1	-1	1	0.423	-1
116	20	6	5	0	stay	scene	bottom	-1	-1	1	0.655	-1
136	20	6	6	0	stay	scene	bottom	1	-1	0	0.487	5
156	28	6	7	0	switch	scene	bottom	-1	-1	1	0.654	-1
184	20	6	8	0	stay	scene	bottom	-1	-1	1	0.63	-1
204	20	6	9	0	stay	scene	top	-1	1	0	0.501	-1
224	28	6	10	0	switch	scene	top	1	1	1	0.428	4
252	20	6	11	0	stay	scene	top	1	-1	0	0.757	4
272	20	6	12	0	stay	scene	top	1	1	1	0.382	4
292	20	6	13	0	stay	scene	top	-1	1	0	0.51	-1
312	28	6	14	0	switch	scene	top	1	1	1	0.62	5
340	20	6	15	0	stay	scene	top	1	1	1	0.372	5
360	20	6	16	0	stay	scene	bottom	1	1	1	0.515	5
380	20	6	17	0	stay	scene	top	-1	1	0	0.386	-1
400	28	6	18	0	switch	scene	bottom	-1	-1	1	0.506	-1
