onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	new	scene	0	0	0	1	NEW	3	NEW+	1	2.12
n/a	n/a	2	stay	scene	3	2	-1	-1	OLD	3	NEW+	0	1.52
n/a	n/a	3	new	scene	0	0	0	1	NEW	3	NEW+	1	1.44
n/a	n/a	4	stay	scene	1	5	-1	-1	OLD	3	NEW+	0	1.34
n/a	n/a	5	new	scene	0	0	0	1	NEW	3	NEW+	1	1.33
n/a	n/a	6	new	scene	0	0	0	1	NEW	3	NEW+	1	1.32
n/a	n/a	7	switch	scene	5	2	-1	-1	OLD	-3	OLD+	1	1.8
n/a	n/a	8	stay	scene	4	2	-1	-1	OLD	-3	OLD+	1	1.03
n/a	n/a	9	new	scene	0	0	0	1	NEW	3	NEW+	1	1.19
n/a	n/a	10	switch	scene	4	8	1	-1	OLD	-3	OLD+	1	0.98
n/a	n/a	11	new	scene	0	0	0	1	NEW	3	NEW+	1	1.95
n/a	n/a	12	new	scene	0	0	0	1	NEW	3	NEW+	1	1.05
n/a	n/a	13	switch	scene	3	9	1	-1	OLD	-3	OLD+	1	4.06
n/a	n/a	14	new	scene	0	0	0	1	NEW	3	NEW+	1	2.1
n/a	n/a	15	switch	scene	1	16	1	-1	OLD	-2	old-	1	2.88
n/a	n/a	16	new	scene	0	0	0	1	NEW	3	NEW+	1	1.61
n/a	n/a	17	stay	scene	4	11	-1	-1	OLD	-3	OLD+	1	1.19
n/a	n/a	18	new	scene	0	0	0	1	NEW	3	NEW+	1	1.71
n/a	n/a	19	new	scene	0	0	0	1	NEW	3	NEW+	1	1.26
n/a	n/a	20	new	scene	0	0	0	1	NEW	3	NEW+	1	1.59
n/a	n/a	21	new	scene	0	0	0	1	NEW	-2	old-	0	3.88
n/a	n/a	22	stay	scene	3	16	-1	-1	OLD	3	NEW+	0	2.46
n/a	n/a	23	switch	scene	4	17	-1	-1	OLD	3	NEW+	0	1.99
n/a	n/a	24	new	scene	0	0	0	1	NEW	-2	old-	0	3.91
n/a	n/a	25	new	scene	0	0	0	1	NEW	-2	old-	0	1.94
n/a	n/a	26	new	scene	0	0	0	1	NEW	3	NEW+	1	1.64
n/a	n/a	27	stay	scene	1	1	-1	-1	OLD	3	NEW+	0	1.78
n/a	n/a	28	stay	scene	6	16	-1	-1	OLD	-3	OLD+	1	1.18
n/a	n/a	29	switch	scene	5	4	1	-1	OLD	-3	OLD+	1	1.96
n/a	n/a	30	switch	scene	6	13	-1	-1	OLD	-3	OLD+	1	1.01
n/a	n/a	31	stay	scene	6	1	-1	-1	OLD	-3	OLD+	1	0.86
n/a	n/a	32	new	scene	0	0	0	1	NEW	3	NEW+	1	1.43
n/a	n/a	33	switch	scene	6	17	1	-1	OLD	-3	OLD+	1	1.08
n/a	n/a	34	new	scene	0	0	0	1	NEW	3	NEW+	1	2.44
n/a	n/a	35	new	scene	0	0	0	1	NEW	2	new-	1	1.75
n/a	n/a	36	new	scene	0	0	0	1	NEW	3	NEW+	1	1.62
n/a	n/a	37	new	scene	0	0	0	1	NEW	-2	old-	0	2.4
n/a	n/a	38	new	scene	0	0	0	1	NEW	3	NEW+	1	2.03
n/a	n/a	39	new	scene	0	0	0	1	NEW	3	NEW+	1	1.9
n/a	n/a	40	switch	scene	3	13	1	-1	OLD	2	new-	0	2.57
n/a	n/a	41	new	scene	0	0	0	1	NEW	3	NEW+	1	1.89
n/a	n/a	42	stay	scene	4	3	-1	-1	OLD	-3	OLD+	1	1.16
n/a	n/a	43	new	scene	0	0	0	1	NEW	3	NEW+	1	1.52
n/a	n/a	44	switch	scene	6	11	-1	-1	OLD	3	NEW+	0	1.63
n/a	n/a	45	stay	scene	5	8	-1	-1	OLD	-2	old-	1	3.9
n/a	n/a	46	new	scene	0	0	0	1	NEW	3	NEW+	1	1.34
n/a	n/a	47	new	scene	0	0	0	1	NEW	3	NEW+	1	1.09
n/a	n/a	48	stay	scene	2	11	-1	-1	OLD	-2	old-	1	1.66
n/a	n/a	49	new	scene	0	0	0	1	NEW	-2	old-	0	1.19
n/a	n/a	50	switch	scene	2	6	-1	-1	OLD	3	NEW+	0	1.09
n/a	n/a	51	new	scene	0	0	0	1	NEW	3	NEW+	1	1.53
n/a	n/a	52	switch	scene	3	10	-1	-1	OLD	-2	old-	1	1.46
n/a	n/a	53	stay	scene	3	1	-1	-1	OLD	-3	OLD+	1	1.73
n/a	n/a	54	new	scene	0	0	0	1	NEW	3	NEW+	1	1.03
n/a	n/a	55	new	scene	0	0	0	1	NEW	3	NEW+	1	2.31
n/a	n/a	56	new	scene	0	0	0	1	NEW	3	NEW+	1	1.79
n/a	n/a	57	new	scene	0	0	0	1	NEW	3	NEW+	1	1.32
n/a	n/a	58	new	scene	0	0	0	1	NEW	3	NEW+	1	1.03
n/a	n/a	59	switch	scene	1	15	-1	-1	OLD	-2	old-	1	2
n/a	n/a	60	switch	scene	6	12	-1	-1	OLD	3	NEW+	0	0.88
n/a	n/a	61	stay	scene	2	4	-1	-1	OLD	3	NEW+	0	0.92
n/a	n/a	62	stay	scene	6	4	-1	-1	OLD	3	NEW+	0	0.96
n/a	n/a	63	new	scene	0	0	0	1	NEW	3	NEW+	1	0.9
n/a	n/a	64	new	scene	0	0	0	1	NEW	3	NEW+	1	0.99
n/a	n/a	65	stay	scene	2	12	-1	-1	OLD	3	NEW+	0	1.19
n/a	n/a	66	switch	scene	1	13	-1	-1	OLD	3	NEW+	0	0.79
n/a	n/a	67	switch	scene	2	14	1	-1	OLD	-2	old-	1	1.6
n/a	n/a	68	stay	scene	4	18	-1	-1	OLD	-3	OLD+	1	1.43
n/a	n/a	69	new	scene	0	0	0	1	NEW	3	NEW+	1	0.8
n/a	n/a	70	new	scene	0	0	0	1	NEW	3	NEW+	1	1.3
n/a	n/a	71	stay	scene	1	4	-1	-1	OLD	3	NEW+	0	0.85
n/a	n/a	72	new	scene	0	0	0	1	NEW	3	NEW+	1	1.98
n/a	n/a	73	new	scene	0	0	0	1	NEW	3	NEW+	1	1.19
n/a	n/a	74	new	scene	0	0	0	1	NEW	3	NEW+	1	1.01
n/a	n/a	75	new	scene	0	0	0	1	NEW	3	NEW+	1	0.87
n/a	n/a	76	new	scene	0	0	0	1	NEW	3	NEW+	1	1.3
n/a	n/a	77	new	scene	0	0	0	1	NEW	3	NEW+	1	1.07
n/a	n/a	78	new	scene	0	0	0	1	NEW	3	NEW+	1	0.99
n/a	n/a	79	new	scene	0	0	0	1	NEW	3	NEW+	1	1.3
n/a	n/a	80	stay	scene	2	18	-1	-1	OLD	3	NEW+	0	2.04
n/a	n/a	81	new	scene	0	0	0	1	NEW	3	NEW+	1	0.93
n/a	n/a	82	switch	scene	3	15	-1	-1	OLD	3	NEW+	0	1.09
n/a	n/a	83	new	scene	0	0	0	1	NEW	3	NEW+	1	1.05
n/a	n/a	84	switch	scene	6	9	1	-1	OLD	3	NEW+	0	0.94
n/a	n/a	85	stay	scene	6	5	-1	-1	OLD	3	NEW+	0	1.11
n/a	n/a	86	switch	scene	4	15	-1	-1	OLD	3	NEW+	0	1.26
n/a	n/a	87	new	scene	0	0	0	1	NEW	3	NEW+	1	0.81
n/a	n/a	88	stay	scene	6	7	-1	-1	OLD	3	NEW+	0	1.22
n/a	n/a	89	switch	scene	2	3	1	-1	OLD	3	NEW+	0	3.18
n/a	n/a	90	new	scene	0	0	0	1	NEW	3	NEW+	1	1.87
n/a	n/a	91	switch	scene	2	15	1	-1	OLD	-3	OLD+	1	3.22
n/a	n/a	92	new	scene	0	0	0	1	NEW	3	NEW+	1	1.57
n/a	n/a	93	new	scene	0	0	0	1	NEW	3	NEW+	1	1.13
n/a	n/a	94	stay	scene	6	10	-1	-1	OLD	-3	OLD+	1	1.28
n/a	n/a	95	new	scene	0	0	0	1	NEW	3	NEW+	1	1.06
n/a	n/a	96	stay	scene	5	3	-1	-1	OLD	-2	old-	1	3.17
n/a	n/a	97	new	scene	0	0	0	1	NEW	3	NEW+	1	0.87
n/a	n/a	98	switch	scene	3	18	-1	-1	OLD	-2	old-	1	1.86
n/a	n/a	99	new	scene	0	0	0	1	NEW	3	NEW+	1	1.14
n/a	n/a	100	switch	scene	1	8	-1	-1	OLD	3	NEW+	0	4.2
n/a	n/a	101	switch	scene	2	2	-1	-1	OLD	3	NEW+	0	0.72
n/a	n/a	102	new	scene	0	0	0	1	NEW	3	NEW+	1	0.67
n/a	n/a	103	new	scene	0	0	0	1	NEW	3	NEW+	1	0.86
n/a	n/a	104	new	scene	0	0	0	1	NEW	3	NEW+	1	0.57
n/a	n/a	105	stay	scene	4	4	-1	-1	OLD	3	NEW+	0	1.04
n/a	n/a	106	switch	scene	5	13	1	-1	OLD	3	NEW+	0	0.65
n/a	n/a	107	switch	scene	5	7	-1	-1	OLD	2	new-	0	2.95
n/a	n/a	108	switch	scene	1	17	1	-1	OLD	3	NEW+	0	1.24
n/a	n/a	109	stay	scene	3	6	-1	-1	OLD	3	NEW+	0	0.95
n/a	n/a	110	new	scene	0	0	0	1	NEW	3	NEW+	1	0.88
n/a	n/a	111	switch	scene	4	14	-1	-1	OLD	-3	OLD+	1	1.24
n/a	n/a	112	new	scene	0	0	0	1	NEW	3	NEW+	1	1.15
n/a	n/a	113	switch	scene	2	9	-1	-1	OLD	3	NEW+	0	0.85
n/a	n/a	114	new	scene	0	0	0	1	NEW	3	NEW+	1	1.66
n/a	n/a	115	switch	scene	3	17	1	-1	OLD	3	NEW+	0	1.73
n/a	n/a	116	stay	scene	4	9	-1	-1	OLD	3	NEW+	0	2.83
n/a	n/a	117	switch	scene	5	12	-1	-1	OLD	3	NEW+	0	1.82
n/a	n/a	118	new	scene	0	0	0	1	NEW	3	NEW+	1	0.92
n/a	n/a	119	stay	scene	2	5	-1	-1	OLD	3	NEW+	0	1.26
n/a	n/a	120	switch	scene	6	3	1	-1	OLD	-2	old-	1	1.73
n/a	n/a	121	new	scene	0	0	0	1	NEW	3	NEW+	1	1.77
n/a	n/a	122	new	scene	0	0	0	1	NEW	3	NEW+	1	0.95
n/a	n/a	123	switch	scene	4	6	1	-1	OLD	-3	OLD+	1	1.61
n/a	n/a	124	stay	scene	2	16	-1	-1	OLD	3	NEW+	0	0.96
n/a	n/a	125	new	scene	0	0	0	1	NEW	3	NEW+	1	3.6
n/a	n/a	126	new	scene	0	0	0	1	NEW	-2	old-	0	1.56
n/a	n/a	127	switch	scene	4	10	1	-1	OLD	-3	OLD+	1	2.17
n/a	n/a	128	stay	scene	1	9	-1	-1	OLD	3	NEW+	0	1.18
n/a	n/a	129	new	scene	0	0	0	1	NEW	3	NEW+	1	2.87
n/a	n/a	130	switch	scene	5	18	1	-1	OLD	-3	OLD+	1	1.55
n/a	n/a	131	stay	scene	1	18	-1	-1	OLD	-2	old-	1	1.92
n/a	n/a	132	stay	scene	5	11	-1	-1	OLD	-3	OLD+	1	1.83
n/a	n/a	133	stay	scene	3	11	-1	-1	OLD	3	NEW+	0	1.07
n/a	n/a	134	new	scene	0	0	0	1	NEW	3	NEW+	1	1.37
n/a	n/a	135	switch	scene	1	2	1	-1	OLD	3	NEW+	0	1.1
n/a	n/a	136	stay	scene	5	15	-1	-1	OLD	-2	old-	1	4.87
