onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	-1	-1	1	0.423	-1
36	16	3	2	0	faces	-1	-1	1	0.368	-1
52	16	3	3	0	scenes	-1	-1	1	0.358	-1
68	16	3	4	0	scenes	1	1	1	0.239	4
84	16	3	5	0	faces	-1	1	0	0.67	-1
100	16	3	6	0	faces	-1	-1	1	0.429	-1
116	16	3	7	0	scenes	-1	-1	1	0.477	-1
132	16	3	8	0	faces	-1	-1	1	0.365	-1
148	16	3	9	0	faces	-1	-1	1	0.461	-1
164	16	3	10	0	faces	1	1	1	0.413	5
180	16	3	11	0	scenes	-1	-1	1	0.229	-1
196	16	3	12	0	scenes	1	1	1	0.372	6
212	16	3	13	0	faces	-1	1	0	0.3	-1
228	16	3	14	0	scenes	-1	-1	1	0.436	-1
244	16	3	15	0	scenes	-1	-1	1	0.371	-1
260	16	3	16	0	faces	1	1	1	0.202	3
276	16	3	17	0	scenes	-1	-1	1	0.41	-1
292	16	3	18	0	scenes	-1	-1	1	0.386	-1
308	16	3	19	0	scenes	1	-1	0	0.378	3
324	16	3	20	0	faces	1	1	1	0.034	3
