onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	top	-1	-1	1	0.296	-1
40	28	5	2	0	switch	scene	bottom	1	1	1	0.384	3
68	20	5	3	0	stay	scene	bottom	-1	-1	1	0.376	-1
88	20	5	4	0	stay	scene	bottom	1	1	1	0.399	5
108	20	5	5	0	stay	scene	top	1	1	1	0.239	3
128	20	5	6	0	stay	scene	top	1	1	1	0.254	5
148	28	5	7	0	switch	scene	bottom	1	-1	0	0.255	6
176	28	5	8	0	switch	scene	top	-1	-1	1	0.43	-1
204	28	5	9	0	switch	scene	bottom	1	-1	0	0.31	6
232	20	5	10	0	stay	scene	top	1	1	1	0.341	6
252	20	5	11	0	stay	scene	top	-1	-1	1	0.334	-1
272	20	5	12	0	stay	scene	bottom	-1	-1	1	0.405	-1
292	20	5	13	0	stay	scene	top	-1	-1	1	0.39	-1
312	28	5	14	0	switch	scene	top	-1	-1	1	0.236	-1
340	20	5	15	0	stay	scene	bottom	1	1	1	0.452	6
360	20	5	16	0	stay	scene	bottom	-1	1	0	0.277	-1
380	28	5	17	0	switch	scene	top	-1	-1	1	0.403	-1
408	20	5	18	0	stay	scene	bottom	1	1	1	0.299	4
