onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	top	1	1	1	0.312	5
40	20	6	2	0	stay	scene	top	-1	-1	1	0.359	-1
60	20	6	3	0	stay	scene	bottom	-1	-1	1	0.374	-1
80	20	6	4	0	stay	scene	bottom	-1	-1	1	0.391	-1
100	28	6	5	0	switch	scene	top	1	1	1	0.301	5
128	20	6	6	0	stay	scene	top	-1	-1	1	0.424	-1
148	20	6	7	0	stay	scene	top	1	1	1	0.375	6
168	20	6	8	0	stay	scene	bottom	1	1	1	0.19	4
188	20	6	9	0	stay	scene	bottom	1	1	1	0.365	4
208	20	6	10	0	stay	scene	top	-1	-1	1	0.358	-1
228	28	6	11	0	switch	scene	bottom	-1	-1	1	0.388	-1
256	20	6	12	0	stay	scene	bottom	-1	-1	1	0.309	-1
276	20	6	13	0	stay	scene	bottom	1	-1	0	0.476	6
296	28	6	14	0	switch	scene	bottom	-1	-1	1	0.388	-1
324	20	6	15	0	stay	scene	top	1	1	1	0.245	3
344	28	6	16	0	switch	scene	top	1	1	1	0.284	4
372	28	6	17	0	switch	scene	top	1	1	1	0.371	6
400	28	6	18	0	switch	scene	bottom	-1	-1	1	0.362	-1
