onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	top	-1	-1	1	0.409	-1
40	28	4	2	0	switch	scene	bottom	-1	-1	1	0.239	-1
68	28	4	3	0	switch	scene	bottom	-1	-1	1	0.399	-1
96	20	4	4	0	stay	scene	bottom	1	1	1	0.408	6
116	20	4	5	0	stay	scene	bottom	-1	1	0	0.462	-1
136	28	4	6	0	switch	scene	top	1	1	1	0.286	5
164	20	4	7	0	stay	scene	top	1	1	1	0.326	3
184	20	4	8	0	stay	scene	bottom	-1	-1	1	0.397	-1
204	20	4	9	0	stay	scene	top	-1	-1	1	0.391	-1
224	20	4	10	0	stay	scene	bottom	1	1	1	0.35	6
244	20	4	11	0	stay	scene	top	-1	1	0	0.285	-1
264	20	4	12	0	stay	scene	top	1	-1	0	0.701	6
284	28	4	13	0	switch	scene	bottom	-1	-1	1	0.324	-1
312	28	4	14	0	switch	scene	top	1	1	1	0.579	5
340	20	4	15	0	stay	scene	bottom	1	1	1	0.133	4
360	20	4	16	0	stay	scene	top	1	1	1	0.292	3
380	20	4	17	0	stay	scene	bottom	-1	-1	1	0.307	-1
400	28	4	18	0	switch	scene	top	1	1	1	0.362	3
