onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	bottom	1	1	1	0.384	5
40	28	6	2	0	switch	scene	top	1	1	1	0.383	4
68	28	6	3	0	switch	scene	bottom	-1	-1	1	0.615	-1
96	20	6	4	0	stay	scene	top	-1	-1	1	0.416	-1
116	20	6	5	0	stay	scene	top	1	1	1	0.359	3
136	20	6	6	0	stay	scene	top	1	1	1	0.367	3
156	20	6	7	0	stay	scene	top	-1	-1	1	0.438	-1
176	28	6	8	0	switch	scene	bottom	-1	-1	1	0.422	-1
204	20	6	9	0	stay	scene	top	-1	-1	1	0.383	-1
224	28	6	10	0	switch	scene	bottom	-1	-1	1	0.405	-1
252	20	6	11	0	stay	scene	bottom	1	1	1	0.39	4
272	20	6	12	0	stay	scene	bottom	-1	-1	1	0.405	-1
292	28	6	13	0	switch	scene	top	1	-1	0	0.74	6
320	20	6	14	0	stay	scene	bottom	-1	-1	1	0.412	-1
340	20	6	15	0	stay	scene	bottom	-1	-1	1	0.524	-1
360	20	6	16	0	stay	scene	top	1	1	1	0.38	5
380	28	6	17	0	switch	scene	top	1	1	1	0.531	6
408	20	6	18	0	stay	scene	bottom	1	1	1	0.38	5
