onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	-1	-1	1	0.48	-1
36	16	3	2	0	scenes	-1	-1	1	0.383	-1
52	16	3	3	0	scenes	1	1	1	0.367	5
68	16	3	4	0	scenes	-1	-1	1	0.406	-1
84	16	3	5	0	scenes	1	1	1	0.35	3
100	16	3	6	0	scenes	-1	-1	1	0.471	-1
116	16	3	7	0	scenes	1	1	1	0.422	6
132	16	3	8	0	scenes	-1	-1	1	0.437	-1
148	16	3	9	0	scenes	-1	-1	1	0.494	-1
164	16	3	10	0	scenes	-1	-1	1	0.413	-1
180	16	3	11	0	faces	-1	-1	1	0.412	-1
196	16	3	12	0	faces	1	-1	0	0.436	5
212	16	3	13	0	faces	1	1	1	0.428	5
228	16	3	14	0	faces	1	1	1	0.317	4
244	16	3	15	0	faces	-1	-1	1	0.429	-1
260	16	3	16	0	faces	-1	-1	1	0.492	-1
276	16	3	17	0	faces	-1	-1	1	0.38	-1
292	16	3	18	0	scenes	1	1	1	0.395	5
308	16	3	19	0	faces	-1	-1	1	0.459	-1
324	16	3	20	0	faces	1	1	1	0.458	6
