onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	scenes	-1	-1	1	0.737	-1
36	16	1	2	0	scenes	-1	1	0	0.492	-1
52	16	1	3	0	faces	1	1	1	0.499	3
68	16	1	4	0	faces	1	1	1	0.442	4
84	16	1	5	0	faces	-1	-1	1	0.499	-1
100	16	1	6	0	faces	-1	-1	1	0.586	-1
116	16	1	7	0	faces	1	1	1	0.393	5
132	16	1	8	0	scenes	-1	-1	1	0.665	-1
148	16	1	9	0	faces	1	1	1	0.354	4
164	16	1	10	0	scenes	1	1	1	0.297	3
180	16	1	11	0	scenes	-1	-1	1	0.465	-1
196	16	1	12	0	faces	1	1	1	0.4	5
212	16	1	13	0	faces	1	1	1	0.36	4
228	16	1	14	0	scenes	1	1	1	0.368	3
244	16	1	15	0	faces	-1	-1	1	0.432	-1
260	16	1	16	0	faces	-1	-1	1	0.472	-1
276	16	1	17	0	scenes	1	1	1	0.4	6
292	16	1	18	0	scenes	1	1	1	0.407	6
308	16	1	19	0	scenes	1	1	1	0.598	6
324	16	1	20	0	scenes	1	1	1	0.431	5
