onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	bottom	1	1	1	0.401	4
40	20	3	2	0	stay	scene	bottom	-1	-1	1	0.36	-1
60	20	3	3	0	stay	scene	bottom	-1	0	0	0	-1
80	28	3	4	0	switch	scene	bottom	1	1	1	0.407	5
108	28	3	5	0	switch	scene	bottom	1	-1	0	0.471	6
136	20	3	6	0	stay	scene	bottom	1	1	1	0.334	4
156	20	3	7	0	stay	scene	top	-1	-1	1	0.463	-1
176	28	3	8	0	switch	scene	top	-1	-1	1	0.453	-1
204	20	3	9	0	stay	scene	bottom	1	1	1	0.397	4
224	20	3	10	0	stay	scene	top	1	-1	0	0.734	3
244	20	3	11	0	stay	scene	top	-1	-1	1	0.406	-1
264	20	3	12	0	stay	scene	top	-1	-1	1	0.428	-1
284	28	3	13	0	switch	scene	top	-1	-1	1	0.404	-1
312	20	3	14	0	stay	scene	top	1	1	1	0.371	3
332	28	3	15	0	switch	scene	bottom	1	1	1	0.364	4
360	20	3	16	0	stay	scene	top	1	1	1	0.34	4
380	28	3	17	0	switch	scene	top	-1	-1	1	0.387	-1
408	20	3	18	0	stay	scene	bottom	-1	-1	1	0.724	-1
