onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	1	1	1	0.383	4
36	16	4	2	0	faces	1	1	1	0.382	3
52	16	4	3	0	scenes	-1	-1	1	0.39	-1
68	16	4	4	0	scenes	1	1	1	0.351	4
84	16	4	5	0	scenes	1	1	1	0.365	5
100	16	4	6	0	faces	-1	-1	1	0.397	-1
116	16	4	7	0	scenes	1	1	1	0.437	5
132	16	4	8	0	scenes	1	1	1	0.357	3
148	16	4	9	0	faces	1	1	1	0.389	5
164	16	4	10	0	scenes	1	1	1	0.356	5
180	16	4	11	0	faces	1	1	1	0.395	3
196	16	4	12	0	scenes	-1	-1	1	0.371	-1
212	16	4	13	0	faces	-1	-1	1	0.483	-1
228	16	4	14	0	faces	1	1	1	0.388	6
244	16	4	15	0	scenes	1	1	1	0.378	5
260	16	4	16	0	scenes	-1	-1	1	0.458	-1
276	16	4	17	0	scenes	1	1	1	0.433	6
292	16	4	18	0	faces	1	1	1	0.434	6
308	16	4	19	0	faces	-1	-1	1	0.386	-1
324	16	4	20	0	faces	1	1	1	0.386	6
