onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	4	1	0	switch	scene	top	1	1	1	0.326	4
48	28	4	2	0	switch	scene	bottom	-1	-1	1	0.43	-1
76	20	4	3	0	stay	scene	bottom	1	1	1	0.207	4
96	20	4	4	0	stay	scene	bottom	-1	-1	1	0.407	-1
116	20	4	5	0	stay	scene	bottom	-1	1	0	0.582	-1
136	20	4	6	0	stay	scene	bottom	-1	-1	1	0.39	-1
156	28	4	7	0	switch	scene	bottom	-1	-1	1	0.405	-1
184	20	4	8	0	stay	scene	top	-1	-1	1	0.518	-1
204	20	4	9	0	stay	scene	top	1	1	1	0.381	6
224	20	4	10	0	stay	scene	top	1	1	1	0.389	5
244	20	4	11	0	stay	scene	bottom	1	1	1	0.229	5
264	20	4	12	0	stay	scene	top	-1	-1	1	0.404	-1
284	20	4	13	0	stay	scene	top	1	1	1	0.34	5
304	28	4	14	0	switch	scene	top	1	1	1	0.411	5
332	28	4	15	0	switch	scene	bottom	-1	-1	1	0.466	-1
360	28	4	16	0	switch	scene	top	1	1	1	0.443	6
388	20	4	17	0	stay	scene	bottom	1	-1	0	0.435	6
408	20	4	18	0	stay	scene	top	-1	-1	1	0.53	-1
