onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.424	-1
36	16	4	2	0	faces	1	1	1	0.351	3
52	16	4	3	0	faces	1	1	1	0.415	3
68	16	4	4	0	scenes	-1	1	0	0.447	-1
84	16	4	5	0	scenes	1	1	1	0.35	6
100	16	4	6	0	scenes	-1	-1	1	0.462	-1
116	16	4	7	0	faces	-1	-1	1	0.382	-1
132	16	4	8	0	scenes	-1	-1	1	0.406	-1
148	16	4	9	0	scenes	-1	-1	1	0.43	-1
164	16	4	10	0	faces	1	1	1	0.365	4
180	16	4	11	0	faces	-1	-1	1	0.389	-1
196	16	4	12	0	faces	-1	-1	1	0.364	-1
212	16	4	13	0	faces	-1	-1	1	0.317	-1
228	16	4	14	0	faces	1	1	1	0.188	4
244	16	4	15	0	faces	-1	-1	1	0.435	-1
260	16	4	16	0	scenes	1	-1	0	0.492	3
276	16	4	17	0	scenes	-1	-1	1	0.444	-1
292	16	4	18	0	scenes	1	1	1	0.362	5
308	16	4	19	0	scenes	1	1	1	0.378	3
324	16	4	20	0	scenes	-1	-1	1	0.45	-1
