onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	-1	1	0	0.568	-1
40	20	2	2	0	stay	scene	top	1	1	1	0.319	4
60	20	2	3	0	stay	scene	bottom	-1	-1	1	0.423	-1
80	20	2	4	0	stay	scene	top	-1	-1	1	0.48	-1
100	28	2	5	0	switch	scene	top	1	1	1	0.342	5
128	20	2	6	0	stay	scene	top	-1	-1	1	0.43	-1
148	20	2	7	0	stay	scene	bottom	1	1	1	0.471	6
168	28	2	8	0	switch	scene	top	1	-1	0	0.389	4
196	20	2	9	0	stay	scene	bottom	-1	-1	1	0.51	-1
216	28	2	10	0	switch	scene	bottom	-1	-1	1	0.413	-1
244	20	2	11	0	stay	scene	bottom	1	-1	0	0.38	6
264	28	2	12	0	switch	scene	bottom	-1	-1	1	0.349	-1
292	20	2	13	0	stay	scene	bottom	1	1	1	0.364	6
312	28	2	14	0	switch	scene	bottom	-1	1	0	0.396	-1
340	20	2	15	0	stay	scene	top	1	1	1	0.379	6
360	20	2	16	0	stay	scene	bottom	-1	-1	1	0.435	-1
380	20	2	17	0	stay	scene	top	1	1	1	0.58	5
400	28	2	18	0	switch	scene	top	1	1	1	0.387	6
