onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	1	1	0	switch	scene	bottom	1	1	1	0.438	5
48	28	1	2	0	switch	scene	top	-1	1	0	0.383	-1
76	20	1	3	0	stay	scene	top	1	1	1	0.415	4
96	20	1	4	0	stay	scene	top	-1	-1	1	0.478	-1
116	28	1	5	0	switch	scene	top	-1	-1	1	0.437	-1
144	20	1	6	0	stay	scene	bottom	1	-1	0	0.615	5
164	20	1	7	0	stay	scene	bottom	1	1	1	0.326	3
184	28	1	8	0	switch	scene	top	-1	-1	1	0.406	-1
212	28	1	9	0	switch	scene	bottom	1	1	1	0.404	3
240	20	1	10	0	stay	scene	top	1	1	1	0.406	3
260	20	1	11	0	stay	scene	bottom	1	1	1	0.381	3
280	20	1	12	0	stay	scene	bottom	-1	-1	1	0.356	-1
300	20	1	13	0	stay	scene	bottom	-1	-1	1	0.525	-1
320	20	1	14	0	stay	scene	top	-1	1	0	0.476	-1
340	20	1	15	0	stay	scene	bottom	-1	-1	1	0.403	-1
360	20	1	16	0	stay	scene	top	1	1	1	0.555	6
380	20	1	17	0	stay	scene	top	-1	-1	1	0.388	-1
400	28	1	18	0	switch	scene	bottom	1	-1	0	0.322	5
