onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	-1	0	0	0	-1
36	16	1	2	0	scenes	-1	-1	1	0.391	-1
52	16	1	3	0	faces	-1	-1	1	0.527	-1
68	16	1	4	0	faces	-1	-1	1	0.479	-1
84	16	1	5	0	faces	1	1	1	0.431	6
100	16	1	6	0	scenes	-1	-1	1	0.454	-1
116	16	1	7	0	scenes	1	1	1	0.35	3
132	16	1	8	0	faces	1	1	1	0.333	5
148	16	1	9	0	scenes	1	1	1	0.286	3
164	16	1	10	0	faces	-1	-1	1	0.476	-1
180	16	1	11	0	faces	1	1	1	0.389	6
196	16	1	12	0	scenes	-1	-1	1	0.404	-1
212	16	1	13	0	scenes	1	-1	0	0.436	5
228	16	1	14	0	scenes	-1	-1	1	0.517	-1
244	16	1	15	0	scenes	1	1	1	0.355	5
260	16	1	16	0	faces	1	1	1	0.164	6
276	16	1	17	0	faces	-1	-1	1	0.482	-1
292	16	1	18	0	faces	1	1	1	0.403	5
308	16	1	19	0	scenes	1	1	1	0.402	6
324	16	1	20	0	scenes	-1	-1	1	0.473	-1
