onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	top	-1	-1	1	0.415	-1
40	20	3	2	0	stay	scene	top	-1	1	0	0.472	-1
60	20	3	3	0	stay	scene	top	-1	-1	1	0.382	-1
80	28	3	4	0	switch	scene	bottom	1	1	1	0.358	4
108	28	3	5	0	switch	scene	top	-1	-1	1	0.351	-1
136	20	3	6	0	stay	scene	bottom	1	1	1	0.286	3
156	28	3	7	0	switch	scene	bottom	1	-1	0	0.478	6
184	20	3	8	0	stay	scene	top	1	1	1	0.51	5
204	28	3	9	0	switch	scene	top	-1	-1	1	0.453	-1
232	20	3	10	0	stay	scene	bottom	1	-1	0	0.397	4
252	28	3	11	0	switch	scene	top	-1	-1	1	0.356	-1
280	20	3	12	0	stay	scene	bottom	-1	-1	1	0.436	-1
300	28	3	13	0	switch	scene	bottom	1	-1	0	0.412	4
328	20	3	14	0	stay	scene	bottom	1	1	1	0.403	5
348	20	3	15	0	stay	scene	bottom	-1	1	0	0.708	-1
368	20	3	16	0	stay	scene	top	1	1	1	0.299	3
388	20	3	17	0	stay	scene	top	1	1	1	0.331	4
408	20	3	18	0	stay	scene	bottom	-1	-1	1	0.412	-1
