onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	top	1	-1	0	0.641	6
40	28	4	2	0	switch	scene	top	1	1	1	0.344	3
68	20	4	3	0	stay	scene	top	1	1	1	0.497	5
88	28	4	4	0	switch	scene	bottom	-1	-1	1	0.399	-1
116	20	4	5	0	stay	scene	bottom	1	1	1	0.151	6
136	28	4	6	0	switch	scene	bottom	-1	1	0	0.31	-1
164	20	4	7	0	stay	scene	bottom	-1	-1	1	0.389	-1
184	20	4	8	0	stay	scene	bottom	-1	-1	1	0.462	-1
204	20	4	9	0	stay	scene	bottom	1	1	1	0.782	4
224	28	4	10	0	switch	scene	top	1	1	1	0.365	5
252	28	4	11	0	switch	scene	top	1	1	1	0.462	5
280	28	4	12	0	switch	scene	bottom	-1	-1	1	0.348	-1
308	20	4	13	0	stay	scene	bottom	1	1	1	0.397	6
328	20	4	14	0	stay	scene	bottom	-1	-1	1	0.396	-1
348	20	4	15	0	stay	scene	top	1	-1	0	0.725	3
368	20	4	16	0	stay	scene	top	-1	-1	1	0.349	-1
388	20	4	17	0	stay	scene	top	-1	-1	1	0.372	-1
408	20	4	18	0	stay	scene	top	-1	-1	1	0.443	-1
