onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	-1	-1	1	0.471	-1
36	16	2	2	0	scenes	-1	-1	1	0.471	-1
52	16	2	3	0	faces	-1	-1	1	0.422	-1
68	16	2	4	0	faces	-1	-1	1	0.429	-1
84	16	2	5	0	scenes	-1	-1	1	0.405	-1
100	16	2	6	0	faces	-1	-1	1	0.398	-1
116	16	2	7	0	scenes	1	1	1	0.389	5
132	16	2	8	0	faces	1	1	1	0.364	6
148	16	2	9	0	faces	1	1	1	0.381	6
164	16	2	10	0	faces	1	1	1	0.413	3
180	16	2	11	0	faces	1	1	1	0.3	3
196	16	2	12	0	scenes	-1	-1	1	0.476	-1
212	16	2	13	0	faces	1	1	1	0.275	4
228	16	2	14	0	scenes	1	1	1	0.46	5
244	16	2	15	0	scenes	-1	-1	1	0.395	-1
260	16	2	16	0	scenes	1	1	1	0.386	6
276	16	2	17	0	scenes	1	1	1	0.347	5
292	16	2	18	0	faces	-1	-1	1	0.434	-1
308	16	2	19	0	scenes	-1	-1	1	0.513	-1
324	16	2	20	0	scenes	1	1	1	0.266	3
