onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	switch	scene	2	16	1	-1	OLD	3	NEW+	0	2.01
n/a	n/a	2	switch	scene	6	7	-1	-1	OLD	3	NEW+	0	1.12
n/a	n/a	3	stay	scene	2	1	-1	-1	OLD	3	NEW+	0	1.02
n/a	n/a	4	stay	scene	3	15	-1	-1	OLD	2	new-	0	1.58
n/a	n/a	5	new	scene	0	0	0	1	NEW	2	new-	1	1.44
n/a	n/a	6	new	scene	0	0	0	1	NEW	2	new-	1	1.55
n/a	n/a	7	new	scene	0	0	0	1	NEW	3	NEW+	1	1.71
n/a	n/a	8	switch	scene	3	11	1	-1	OLD	-2	old-	1	2.14
n/a	n/a	9	switch	scene	5	8	1	-1	OLD	-3	OLD+	1	1.89
n/a	n/a	10	stay	scene	4	13	-1	-1	OLD	-3	OLD+	1	1.55
n/a	n/a	11	stay	scene	1	2	-1	-1	OLD	-3	OLD+	1	1.1
n/a	n/a	12	new	scene	0	0	0	1	NEW	3	NEW+	1	1.81
n/a	n/a	13	stay	scene	2	4	-1	-1	OLD	-3	OLD+	1	1.2
n/a	n/a	14	new	scene	0	0	0	1	NEW	-2	old-	0	1.9
n/a	n/a	15	stay	scene	4	14	-1	-1	OLD	-2	old-	1	1.65
n/a	n/a	16	stay	scene	3	8	-1	-1	OLD	-3	OLD+	1	1.54
n/a	n/a	17	new	scene	0	0	0	1	NEW	2	new-	1	1.32
n/a	n/a	18	new	scene	0	0	0	1	NEW	2	new-	1	1.23
n/a	n/a	19	new	scene	0	0	0	1	NEW	-2	old-	0	1.2
n/a	n/a	20	new	scene	0	0	0	1	NEW	-2	old-	0	1.98
n/a	n/a	21	switch	scene	2	3	-1	-1	OLD	2	new-	0	2.34
n/a	n/a	22	new	scene	0	0	0	1	NEW	2	new-	1	1.35
n/a	n/a	23	switch	scene	1	14	-1	-1	OLD	-3	OLD+	1	1.37
n/a	n/a	24	new	scene	0	0	0	1	NEW	3	NEW+	1	1.53
n/a	n/a	25	new	scene	0	0	0	1	NEW	2	new-	1	1.55
n/a	n/a	26	stay	scene	5	1	-1	-1	OLD	-2	old-	1	2.36
n/a	n/a	27	stay	scene	1	10	-1	-1	OLD	-2	old-	1	2.27
n/a	n/a	28	new	scene	0	0	0	1	NEW	2	new-	1	1.48
n/a	n/a	29	new	scene	0	0	0	1	NEW	2	new-	1	1.65
n/a	n/a	30	new	scene	0	0	0	1	NEW	-3	OLD+	0	2.13
n/a	n/a	31	switch	scene	2	6	1	-1	OLD	-2	old-	1	2.33
n/a	n/a	32	stay	scene	5	13	-1	-1	OLD	-3	OLD+	1	1.66
n/a	n/a	33	stay	scene	1	3	-1	-1	OLD	-2	old-	1	1.38
n/a	n/a	34	new	scene	0	0	0	1	NEW	-2	old-	0	2.38
n/a	n/a	35	new	scene	0	0	0	1	NEW	2	new-	1	1.39
n/a	n/a	36	stay	scene	5	11	-1	-1	OLD	2	new-	0	2.49
n/a	n/a	37	stay	scene	3	2	-1	-1	OLD	-3	OLD+	1	1.69
n/a	n/a	38	new	scene	0	0	0	1	NEW	-2	old-	0	1.74
n/a	n/a	39	stay	scene	6	13	-1	-1	OLD	-3	OLD+	1	1.22
n/a	n/a	40	new	scene	0	0	0	1	NEW	2	new-	1	1.7
n/a	n/a	41	new	scene	0	0	0	1	NEW	-2	old-	0	1.4
n/a	n/a	42	switch	scene	1	15	1	-1	OLD	-2	old-	1	1.4
n/a	n/a	43	new	scene	0	0	0	1	NEW	-2	old-	0	1.9
n/a	n/a	44	new	scene	0	0	0	1	NEW	2	new-	1	1.16
