onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.263	-1
36	16	4	2	0	scenes	1	1	1	0.495	5
52	16	4	3	0	faces	1	1	1	0.445	3
68	16	4	4	0	faces	1	1	1	0.566	6
84	16	4	5	0	scenes	-1	1	0	0.454	-1
100	16	4	6	0	scenes	1	1	1	0.421	3
116	16	4	7	0	faces	-1	-1	1	0.548	-1
132	16	4	8	0	scenes	-1	-1	1	0.501	-1
148	16	4	9	0	faces	1	1	1	0.38	4
164	16	4	10	0	scenes	-1	-1	1	0.372	-1
180	16	4	11	0	scenes	1	-1	0	0.419	4
196	16	4	12	0	faces	1	1	1	0.459	4
212	16	4	13	0	faces	-1	-1	1	0.698	-1
228	16	4	14	0	faces	1	1	1	0.538	4
244	16	4	15	0	scenes	1	1	1	0.498	4
260	16	4	16	0	scenes	1	-1	0	0.506	6
276	16	4	17	0	scenes	1	1	1	0.442	3
292	16	4	18	0	faces	1	1	1	0.466	3
308	16	4	19	0	scenes	-1	-1	1	0.393	-1
324	16	4	20	0	faces	-1	-1	1	0.498	-1
