onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	top	-1	-1	1	0.353	-1
40	20	3	2	0	stay	scene	top	1	-1	0	0.504	4
60	20	3	3	0	stay	scene	bottom	-1	-1	1	0.465	-1
80	20	3	4	0	stay	scene	bottom	-1	-1	1	0.479	-1
100	28	3	5	0	switch	scene	bottom	1	1	1	0.455	5
128	20	3	6	0	stay	scene	bottom	1	-1	0	0.359	6
148	28	3	7	0	switch	scene	top	-1	-1	1	0.423	-1
176	20	3	8	0	stay	scene	top	-1	-1	1	0.414	-1
196	28	3	9	0	switch	scene	bottom	1	1	1	0.42	5
224	28	3	10	0	switch	scene	bottom	1	1	1	0.421	4
252	20	3	11	0	stay	scene	bottom	-1	-1	1	0.404	-1
272	20	3	12	0	stay	scene	top	1	-1	0	0.486	5
292	20	3	13	0	stay	scene	top	-1	-1	1	0.469	-1
312	28	3	14	0	switch	scene	top	-1	-1	1	0.38	-1
340	20	3	15	0	stay	scene	bottom	1	1	1	0.412	5
360	28	3	16	0	switch	scene	top	-1	-1	1	0.371	-1
388	20	3	17	0	stay	scene	top	1	1	1	0.46	3
408	20	3	18	0	stay	scene	bottom	1	1	1	0.426	5
