onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	bottom	1	1	1	0.456	6
40	20	4	2	0	stay	scene	bottom	-1	-1	1	0.376	-1
60	20	4	3	0	stay	scene	bottom	-1	-1	1	0.72	-1
80	20	4	4	0	stay	scene	top	1	-1	0	0.375	3
100	28	4	5	0	switch	scene	top	1	1	1	0.446	4
128	28	4	6	0	switch	scene	top	1	1	1	0.349	4
156	20	4	7	0	stay	scene	top	-1	-1	1	0.406	-1
176	28	4	8	0	switch	scene	bottom	-1	-1	1	0.364	-1
204	20	4	9	0	stay	scene	bottom	1	1	1	0.517	6
224	20	4	10	0	stay	scene	top	-1	-1	1	0.46	-1
244	20	4	11	0	stay	scene	top	-1	-1	1	0.437	-1
264	20	4	12	0	stay	scene	top	1	-1	0	0.452	6
284	28	4	13	0	switch	scene	top	1	1	1	0.411	4
312	20	4	14	0	stay	scene	top	1	1	1	0.421	5
332	28	4	15	0	switch	scene	bottom	-1	-1	1	0.282	-1
360	20	4	16	0	stay	scene	bottom	1	1	1	0.65	6
380	28	4	17	0	switch	scene	bottom	-1	-1	1	0.37	-1
408	20	4	18	0	stay	scene	bottom	-1	-1	1	0.371	-1
