onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	new	scene	0	0	0	1	NEW	3	NEW+	1	2.01
n/a	n/a	2	new	scene	0	0	0	1	NEW	3	NEW+	1	1.36
n/a	n/a	3	new	scene	0	0	0	1	NEW	3	NEW+	1	0.99
n/a	n/a	4	switch	scene	1	6	-1	-1	OLD	-3	OLD+	1	1.5
n/a	n/a	5	stay	scene	3	15	-1	-1	OLD	-3	OLD+	1	1.42
n/a	n/a	6	switch	scene	4	6	-1	-1	OLD	3	NEW+	0	1.28
n/a	n/a	7	stay	scene	5	9	-1	-1	OLD	3	NEW+	0	1.23
n/a	n/a	8	switch	scene	2	10	1	-1	OLD	-3	OLD+	1	1.31
n/a	n/a	9	switch	scene	4	12	-1	-1	OLD	-2	old-	1	1.68
n/a	n/a	10	stay	scene	2	6	-1	-1	OLD	-3	OLD+	1	1.24
n/a	n/a	11	new	scene	0	0	0	1	NEW	3	NEW+	1	1.21
n/a	n/a	12	switch	scene	4	9	1	-1	OLD	3	NEW+	0	1.67
n/a	n/a	13	switch	scene	5	7	-1	-1	OLD	-3	OLD+	1	1.37
n/a	n/a	14	new	scene	0	0	0	1	NEW	3	NEW+	1	2.45
n/a	n/a	15	switch	scene	5	16	1	-1	OLD	-3	OLD+	1	1.62
n/a	n/a	16	new	scene	0	0	0	1	NEW	3	NEW+	1	1.91
n/a	n/a	17	new	scene	0	0	0	1	NEW	-2	old-	0	6.19
n/a	n/a	18	switch	scene	4	8	1	-1	OLD	-3	OLD+	1	1.69
n/a	n/a	19	new	scene	0	0	0	1	NEW	3	NEW+	1	1.66
n/a	n/a	20	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.56
n/a	n/a	21	stay	scene	4	15	-1	-1	OLD	-3	OLD+	1	1.23
n/a	n/a	22	new	scene	0	0	0	1	NEW	2	new-	1	4.33
n/a	n/a	23	stay	scene	6	7	-1	-1	OLD	-3	OLD+	1	2.24
n/a	n/a	24	new	scene	0	0	0	1	NEW	-3	OLD+	0	3.97
n/a	n/a	25	stay	scene	6	8	-1	-1	OLD	-3	OLD+	1	1.6
n/a	n/a	26	stay	scene	3	18	-1	-1	OLD	3	NEW+	0	1.27
n/a	n/a	27	new	scene	0	0	0	1	NEW	2	new-	1	4.61
n/a	n/a	28	stay	scene	6	3	-1	-1	OLD	-3	OLD+	1	1.39
n/a	n/a	29	new	scene	0	0	0	1	NEW	2	new-	1	4.82
n/a	n/a	30	new	scene	0	0	0	1	NEW	3	NEW+	1	3.53
n/a	n/a	31	new	scene	0	0	0	1	NEW	3	NEW+	1	2.04
n/a	n/a	32	new	scene	0	0	0	1	NEW	3	NEW+	1	1.48
n/a	n/a	33	new	scene	0	0	0	1	NEW	3	NEW+	1	3.06
n/a	n/a	34	switch	scene	4	11	-1	-1	OLD	-3	OLD+	1	1.94
n/a	n/a	35	new	scene	0	0	0	1	NEW	2	new-	1	1.87
n/a	n/a	36	new	scene	0	0	0	1	NEW	2	new-	1	1.97
n/a	n/a	37	switch	scene	1	16	-1	-1	OLD	-2	old-	1	3.45
n/a	n/a	38	stay	scene	3	12	-1	-1	OLD	-3	OLD+	1	6.32
n/a	n/a	39	stay	scene	6	6	-1	-1	OLD	-3	OLD+	1	1.41
n/a	n/a	40	stay	scene	1	7	-1	-1	OLD	-3	OLD+	1	0.93
n/a	n/a	41	switch	scene	1	17	1	-1	OLD	2	new-	0	6.55
n/a	n/a	42	stay	scene	5	14	-1	-1	OLD	-3	OLD+	1	2.38
n/a	n/a	43	new	scene	0	0	0	1	NEW	3	NEW+	1	4.04
n/a	n/a	44	new	scene	0	0	0	1	NEW	3	NEW+	1	2.48
n/a	n/a	45	new	scene	0	0	0	1	NEW	2	new-	1	2.31
n/a	n/a	46	switch	scene	3	14	1	-1	OLD	2	new-	0	2.02
n/a	n/a	47	new	scene	0	0	0	1	NEW	3	NEW+	1	1.3
n/a	n/a	48	new	scene	0	0	0	1	NEW	3	NEW+	1	1.32
n/a	n/a	49	stay	scene	6	1	-1	-1	OLD	2	new-	0	4.65
n/a	n/a	50	switch	scene	5	12	1	-1	OLD	-3	OLD+	1	2.56
n/a	n/a	51	new	scene	0	0	0	1	NEW	2	new-	1	2.18
n/a	n/a	52	switch	scene	6	16	-1	-1	OLD	-3	OLD+	1	1.34
n/a	n/a	53	switch	scene	1	4	1	-1	OLD	2	new-	0	7.66
n/a	n/a	54	new	scene	0	0	0	1	NEW	3	NEW+	1	1.86
n/a	n/a	55	new	scene	0	0	0	1	NEW	2	new-	1	2.84
n/a	n/a	56	new	scene	0	0	0	1	NEW	3	NEW+	1	1.5
n/a	n/a	57	new	scene	0	0	0	1	NEW	3	NEW+	1	3.4
n/a	n/a	58	switch	scene	1	5	-1	-1	OLD	-3	OLD+	1	1.65
n/a	n/a	59	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.99
n/a	n/a	60	stay	scene	4	18	-1	-1	OLD	-3	OLD+	1	2.72
n/a	n/a	61	new	scene	0	0	0	1	NEW	3	NEW+	1	3.33
n/a	n/a	62	stay	scene	2	7	-1	-1	OLD	-3	OLD+	1	3.81
n/a	n/a	63	stay	scene	6	18	-1	-1	OLD	-3	OLD+	1	1.73
n/a	n/a	64	new	scene	0	0	0	1	NEW	3	NEW+	1	1.78
n/a	n/a	65	new	scene	0	0	0	1	NEW	3	NEW+	1	2.25
n/a	n/a	66	new	scene	0	0	0	1	NEW	3	NEW+	1	1.16
n/a	n/a	67	switch	scene	3	6	1	-1	OLD	-3	OLD+	1	1.17
n/a	n/a	68	new	scene	0	0	0	1	NEW	2	new-	1	5.38
n/a	n/a	69	switch	scene	3	3	1	-1	OLD	-3	OLD+	1	1.94
n/a	n/a	70	stay	scene	3	11	-1	-1	OLD	2	new-	0	5
n/a	n/a	71	new	scene	0	0	0	1	NEW	3	NEW+	1	4.17
n/a	n/a	72	new	scene	0	0	0	1	NEW	3	NEW+	1	1.44
n/a	n/a	73	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.71
n/a	n/a	74	stay	scene	2	2	-1	-1	OLD	3	NEW+	0	1.65
n/a	n/a	75	stay	scene	1	14	-1	-1	OLD	3	NEW+	0	1.71
n/a	n/a	76	stay	scene	3	7	-1	-1	OLD	-3	OLD+	1	3.33
