onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.519	3
36	16	2	2	0	faces	-1	-1	1	0.51	-1
52	16	2	3	0	faces	-1	-1	1	0.59	-1
68	16	2	4	0	faces	1	1	1	0.461	5
84	16	2	5	0	scenes	-1	-1	1	0.477	-1
100	16	2	6	0	faces	-1	-1	1	0.493	-1
116	16	2	7	0	scenes	1	1	1	0.534	4
132	16	2	8	0	scenes	-1	-1	1	0.573	-1
148	16	2	9	0	scenes	1	1	1	0.5	3
164	16	2	10	0	faces	-1	-1	1	0.476	-1
180	16	2	11	0	scenes	-1	-1	1	0.515	-1
196	16	2	12	0	faces	-1	-1	1	0.476	-1
212	16	2	13	0	faces	1	1	1	0.475	5
228	16	2	14	0	scenes	-1	0	0	0	-1
244	16	2	15	0	faces	-1	-1	1	0.467	-1
260	16	2	16	0	scenes	-1	-1	1	0.466	-1
276	16	2	17	0	faces	-1	-1	1	0.506	-1
292	16	2	18	0	scenes	-1	-1	1	0.515	-1
308	16	2	19	0	scenes	-1	-1	1	0.553	-1
324	16	2	20	0	scenes	1	1	1	0.465	4
