onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	-1	-1	1	0.367	-1
36	16	3	2	0	scenes	-1	1	0	0.502	-1
52	16	3	3	0	scenes	1	0	0	0	3
68	16	3	4	0	faces	-1	-1	1	0.471	-1
84	16	3	5	0	faces	1	1	1	0.293	4
100	16	3	6	0	faces	1	1	1	0.534	4
116	16	3	7	0	scenes	-1	-1	1	0.493	-1
132	16	3	8	0	faces	-1	-1	1	0.461	-1
148	16	3	9	0	scenes	1	-1	0	0.437	4
164	16	3	10	0	faces	-1	-1	1	0.485	-1
180	16	3	11	0	scenes	-1	0	0	0	-1
196	16	3	12	0	scenes	-1	-1	1	0.427	-1
212	16	3	13	0	scenes	1	-1	0	0.603	4
228	16	3	14	0	faces	-1	-1	1	0.523	-1
244	16	3	15	0	faces	1	-1	0	0.491	5
260	16	3	16	0	faces	1	1	1	0.603	6
276	16	3	17	0	scenes	-1	0	0	0	-1
292	16	3	18	0	scenes	1	-1	0	0.323	4
308	16	3	19	0	scenes	1	-1	0	0.402	4
324	16	3	20	0	faces	1	-1	0	0.45	6
