onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	scenes	1	1	1	0.519	3
36	16	4	2	0	faces	-1	0	0	0	-1
52	16	4	3	0	scenes	1	1	1	0.376	6
68	16	4	4	0	faces	1	1	1	0.638	3
84	16	4	5	0	scenes	1	1	1	0.367	5
100	16	4	6	0	scenes	-1	-1	1	0.503	-1
116	16	4	7	0	faces	1	1	1	0.398	5
132	16	4	8	0	faces	-1	-1	1	0.302	-1
148	16	4	9	0	scenes	1	0	0	0	5
164	16	4	10	0	faces	-1	-1	1	0.396	-1
180	16	4	11	0	faces	1	1	1	0.348	4
196	16	4	12	0	faces	1	0	0	0	6
212	16	4	13	0	scenes	1	1	1	0.469	5
228	16	4	14	0	faces	1	-1	0	0.404	6
244	16	4	15	0	scenes	-1	1	0	0.388	-1
260	16	4	16	0	scenes	-1	-1	1	0.411	-1
276	16	4	17	0	scenes	1	1	1	0.554	3
292	16	4	18	0	faces	1	-1	0	0.379	5
308	16	4	19	0	faces	1	1	1	0.379	6
324	16	4	20	0	scenes	1	1	1	0.57	6
