onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	top	1	1	1	0.257	3
40	28	3	2	0	switch	scene	top	-1	-1	1	0.543	-1
68	20	3	3	0	stay	scene	bottom	-1	-1	1	0.424	-1
88	28	3	4	0	switch	scene	bottom	1	1	1	0.463	6
116	20	3	5	0	stay	scene	bottom	1	1	1	0.367	5
136	28	3	6	0	switch	scene	bottom	1	-1	0	0.406	6
164	20	3	7	0	stay	scene	bottom	-1	-1	1	0.446	-1
184	20	3	8	0	stay	scene	bottom	-1	0	0	0	-1
204	20	3	9	0	stay	scene	top	1	0	0	0	6
224	20	3	10	0	stay	scene	top	1	1	1	0.477	5
244	20	3	11	0	stay	scene	bottom	1	1	1	0.397	6
264	20	3	12	0	stay	scene	top	-1	-1	1	0.437	-1
284	20	3	13	0	stay	scene	top	-1	1	0	0.397	-1
304	28	3	14	0	switch	scene	top	-1	-1	1	0.379	-1
332	20	3	15	0	stay	scene	bottom	1	1	1	0.548	6
352	20	3	16	0	stay	scene	top	-1	0	0	0	-1
372	28	3	17	0	switch	scene	top	-1	-1	1	0.355	-1
400	28	3	18	0	switch	scene	bottom	1	-1	0	0.483	5
