onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	bottom	1	1	1	0.337	5
40	20	5	2	0	stay	scene	top	1	-1	0	0.36	4
60	20	5	3	0	stay	scene	top	1	1	1	0.415	6
80	28	5	4	0	switch	scene	top	-1	-1	1	0.448	-1
108	20	5	5	0	stay	scene	bottom	-1	1	0	0.487	-1
128	28	5	6	0	switch	scene	top	-1	-1	1	0.407	-1
156	20	5	7	0	stay	scene	bottom	-1	-1	1	0.472	-1
176	20	5	8	0	stay	scene	top	-1	-1	1	0.431	-1
196	28	5	9	0	switch	scene	bottom	1	1	1	0.431	6
224	20	5	10	0	stay	scene	bottom	1	1	1	0.605	3
244	20	5	11	0	stay	scene	top	-1	-1	1	0.373	-1
264	28	5	12	0	switch	scene	bottom	1	1	1	0.196	4
292	20	5	13	0	stay	scene	top	1	-1	0	0.438	6
312	20	5	14	0	stay	scene	bottom	-1	-1	1	0.405	-1
332	20	5	15	0	stay	scene	bottom	1	1	1	0.389	5
352	28	5	16	0	switch	scene	bottom	1	1	1	0.371	5
380	20	5	17	0	stay	scene	top	-1	-1	1	0.372	-1
400	28	5	18	0	switch	scene	top	-1	-1	1	0.338	-1
