onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	scenes	1	-1	0	0.702	4
36	16	4	2	0	scenes	1	1	1	0.312	3
52	16	4	3	0	scenes	1	1	1	0.518	6
68	16	4	4	0	scenes	-1	-1	1	0.525	-1
84	16	4	5	0	scenes	-1	-1	1	0.438	-1
100	16	4	6	0	faces	1	-1	0	0.573	4
116	16	4	7	0	faces	1	1	1	0.598	3
132	16	4	8	0	faces	1	1	1	0.453	3
148	16	4	9	0	scenes	-1	-1	1	0.492	-1
164	16	4	10	0	scenes	-1	1	0	0.46	-1
180	16	4	11	0	faces	1	1	1	0.459	4
196	16	4	12	0	faces	1	1	1	0.443	5
212	16	4	13	0	faces	1	1	1	0.276	3
228	16	4	14	0	faces	-1	0	0	0	-1
244	16	4	15	0	scenes	1	1	1	0.643	4
260	16	4	16	0	scenes	1	-1	0	0.65	6
276	16	4	17	0	faces	-1	0	0	0	-1
292	16	4	18	0	faces	-1	-1	1	0.458	-1
308	16	4	19	0	faces	-1	-1	1	0.595	-1
324	16	4	20	0	scenes	1	1	1	0.441	3
