onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	bottom	-1	0	0	0	-1
40	20	1	2	0	stay	scene	top	-1	1	0	0.607	-1
60	20	1	3	0	stay	scene	bottom	1	1	1	0.583	6
80	28	1	4	0	switch	scene	bottom	1	1	1	0.447	5
108	20	1	5	0	stay	scene	top	-1	-1	1	0.399	-1
128	28	1	6	0	switch	scene	top	-1	-1	1	0.542	-1
156	28	1	7	0	switch	scene	bottom	1	1	1	0.398	5
184	20	1	8	0	stay	scene	bottom	-1	-1	1	0.607	-1
204	20	1	9	0	stay	scene	top	-1	-1	1	0.631	-1
224	20	1	10	0	stay	scene	top	1	-1	0	0.397	6
244	28	1	11	0	switch	scene	top	-1	-1	1	0.341	-1
272	20	1	12	0	stay	scene	bottom	1	0	0	0	4
292	20	1	13	0	stay	scene	bottom	-1	-1	1	0.413	-1
312	20	1	14	0	stay	scene	top	1	0	0	0	5
332	28	1	15	0	switch	scene	bottom	1	1	1	0.731	4
360	20	1	16	0	stay	scene	bottom	1	1	1	0.381	6
380	20	1	17	0	stay	scene	top	1	1	1	0.157	3
400	28	1	18	0	switch	scene	top	-1	-1	1	0.459	-1
