onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	scenes	-1	-1	1	0.56	-1
36	16	2	2	0	faces	-1	-1	1	0.455	-1
52	16	2	3	0	scenes	-1	-1	1	0.551	-1
68	16	2	4	0	faces	1	1	1	0.487	6
84	16	2	5	0	faces	-1	-1	1	0.479	-1
100	16	2	6	0	scenes	1	1	1	0.486	5
116	16	2	7	0	faces	1	1	1	0.485	5
132	16	2	8	0	scenes	1	1	1	0.477	5
148	16	2	9	0	faces	-1	-1	1	0.437	-1
164	16	2	10	0	faces	1	1	1	0.484	4
180	16	2	11	0	scenes	-1	-1	1	0.389	-1
196	16	2	12	0	scenes	1	1	1	0.453	5
212	16	2	13	0	faces	-1	-1	1	0.572	-1
228	16	2	14	0	scenes	-1	-1	1	0.444	-1
244	16	2	15	0	scenes	-1	-1	1	0.54	-1
260	16	2	16	0	faces	-1	-1	1	0.483	-1
276	16	2	17	0	faces	-1	-1	1	0.331	-1
292	16	2	18	0	scenes	-1	-1	1	0.434	-1
308	16	2	19	0	scenes	-1	-1	1	0.482	-1
324	16	2	20	0	faces	-1	-1	1	0.499	-1
