onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	top	-1	-1	1	0.488	-1
40	28	6	2	0	switch	scene	top	1	1	1	0.08	3
68	20	6	3	0	stay	scene	top	1	1	1	0.151	3
88	20	6	4	0	stay	scene	top	1	1	1	0.304	4
108	28	6	5	0	switch	scene	bottom	-1	1	0	0.287	-1
136	20	6	6	0	stay	scene	top	-1	-1	1	0.279	-1
156	20	6	7	0	stay	scene	bottom	-1	-1	1	0.2	-1
176	28	6	8	0	switch	scene	bottom	-1	-1	1	0.381	-1
204	28	6	9	0	switch	scene	bottom	-1	-1	1	0.623	-1
232	28	6	10	0	switch	scene	top	1	1	1	0.404	5
260	20	6	11	0	stay	scene	bottom	1	-1	0	0.166	4
280	20	6	12	0	stay	scene	bottom	1	1	1	0.453	6
300	20	6	13	0	stay	scene	top	-1	-1	1	0.34	-1
320	28	6	14	0	switch	scene	top	1	1	1	0.5	6
348	20	6	15	0	stay	scene	bottom	-1	-1	1	0.468	-1
368	20	6	16	0	stay	scene	top	1	1	1	0.229	5
388	20	6	17	0	stay	scene	bottom	-1	-1	1	0.557	-1
408	20	6	18	0	stay	scene	bottom	1	1	1	0.292	4
