onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	bottom	-1	-1	1	0.209	-1
40	20	5	2	0	stay	scene	bottom	-1	-1	1	0.337	-1
60	20	5	3	0	stay	scene	top	-1	-1	1	0.36	-1
80	28	5	4	0	switch	scene	bottom	1	1	1	0.223	5
108	20	5	5	0	stay	scene	bottom	1	1	1	0.184	5
128	20	5	6	0	stay	scene	top	1	-1	0	0.478	3
148	28	5	7	0	switch	scene	bottom	1	1	1	0.246	6
176	20	5	8	0	stay	scene	bottom	-1	-1	1	0.39	-1
196	20	5	9	0	stay	scene	bottom	1	-1	0	0.518	4
216	28	5	10	0	switch	scene	top	-1	-1	1	0.573	-1
244	20	5	11	0	stay	scene	top	1	1	1	0.238	5
264	28	5	12	0	switch	scene	top	-1	0	0	0	-1
292	28	5	13	0	switch	scene	top	-1	1	0	0.388	-1
320	20	5	14	0	stay	scene	bottom	1	1	1	0.389	6
340	20	5	15	0	stay	scene	top	-1	-1	1	0.525	-1
360	20	5	16	0	stay	scene	top	1	1	1	0.043	3
380	20	5	17	0	stay	scene	top	-1	-1	1	0.356	-1
400	28	5	18	0	switch	scene	bottom	1	1	1	0.339	6
