onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	1	-1	0	0.184	5
36	16	3	2	0	faces	-1	-1	1	0.415	-1
52	16	3	3	0	faces	-1	-1	1	0.414	-1
68	16	3	4	0	faces	1	1	1	0.414	6
84	16	3	5	0	scenes	1	1	1	0.365	6
100	16	3	6	0	faces	1	1	1	0.125	5
116	16	3	7	0	scenes	-1	1	0	0.494	-1
132	16	3	8	0	faces	1	1	1	0.085	5
148	16	3	9	0	scenes	-1	-1	1	0.253	-1
164	16	3	10	0	scenes	-1	-1	1	0.356	-1
180	16	3	11	0	scenes	1	1	1	0.349	6
196	16	3	12	0	scenes	1	1	1	0.124	3
212	16	3	13	0	faces	-1	-1	1	0.476	-1
228	16	3	14	0	scenes	1	1	1	0.539	6
244	16	3	15	0	scenes	-1	-1	1	0.396	-1
260	16	3	16	0	faces	-1	1	0	0.339	-1
276	16	3	17	0	scenes	-1	-1	1	0.347	-1
292	16	3	18	0	scenes	1	1	1	0.138	5
308	16	3	19	0	faces	1	1	1	0.01	4
324	16	3	20	0	faces	-1	1	0	0.602	-1
