onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	1	1	1	0.295	4
40	20	2	2	0	stay	scene	bottom	-1	-1	1	0.382	-1
60	28	2	3	0	switch	scene	top	1	1	1	0.327	4
88	20	2	4	0	stay	scene	bottom	-1	-1	1	0.367	-1
108	28	2	5	0	switch	scene	top	1	1	1	0.238	5
136	20	2	6	0	stay	scene	top	1	1	1	0.478	6
156	20	2	7	0	stay	scene	top	-1	-1	1	0.414	-1
176	28	2	8	0	switch	scene	bottom	-1	-1	1	0.341	-1
204	28	2	9	0	switch	scene	bottom	-1	-1	1	0.501	-1
232	20	2	10	0	stay	scene	top	-1	1	0	0.821	-1
252	20	2	11	0	stay	scene	bottom	-1	-1	1	0.404	-1
272	20	2	12	0	stay	scene	bottom	1	1	1	0.485	3
292	28	2	13	0	switch	scene	top	1	1	1	0.37	4
320	20	2	14	0	stay	scene	top	1	1	1	0.292	6
340	28	2	15	0	switch	scene	bottom	-1	-1	1	0.346	-1
368	20	2	16	0	stay	scene	top	-1	-1	1	0.651	-1
388	20	2	17	0	stay	scene	bottom	1	1	1	0.155	3
408	20	2	18	0	stay	scene	bottom	1	1	1	0.01	3
