onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	3	1	0	switch	scene	bottom	1	1	1	0.312	6
48	20	3	2	0	stay	scene	bottom	1	1	1	0.32	6
68	20	3	3	0	stay	scene	bottom	1	1	1	0.311	6
88	20	3	4	0	stay	scene	bottom	-1	-1	1	0.367	-1
108	20	3	5	0	stay	scene	top	1	-1	0	0.51	3
128	20	3	6	0	stay	scene	top	1	1	1	0.061	3
148	28	3	7	0	switch	scene	bottom	1	1	1	0.276	3
176	20	3	8	0	stay	scene	top	-1	-1	1	0.389	-1
196	20	3	9	0	stay	scene	top	1	1	1	0.23	5
216	20	3	10	0	stay	scene	top	-1	-1	1	0.413	-1
236	28	3	11	0	switch	scene	top	-1	-1	1	0.395	-1
264	20	3	12	0	stay	scene	bottom	-1	1	0	0.42	-1
284	28	3	13	0	switch	scene	top	-1	-1	1	0.371	-1
312	28	3	14	0	switch	scene	bottom	1	1	1	0.787	6
340	28	3	15	0	switch	scene	top	-1	1	0	0.314	-1
368	20	3	16	0	stay	scene	bottom	1	1	1	0.012	3
388	20	3	17	0	stay	scene	top	-1	-1	1	0.363	-1
408	20	3	18	0	stay	scene	bottom	-1	-1	1	0.282	-1
