onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	scenes	1	1	1	0.087	4
36	16	4	2	0	scenes	-1	-1	1	0.392	-1
52	16	4	3	0	faces	1	1	1	0.471	5
68	16	4	4	0	faces	-1	-1	1	0.398	-1
84	16	4	5	0	scenes	-1	-1	1	0.438	-1
100	16	4	6	0	faces	-1	-1	1	0.429	-1
116	16	4	7	0	faces	-1	-1	1	0.493	-1
132	16	4	8	0	faces	1	1	1	0.268	5
148	16	4	9	0	scenes	1	1	1	0.165	4
164	16	4	10	0	scenes	1	1	1	0.404	6
180	16	4	11	0	scenes	1	1	1	0.116	4
196	16	4	12	0	faces	-1	1	0	0.771	-1
212	16	4	13	0	scenes	1	-1	0	0.427	3
228	16	4	14	0	scenes	-1	-1	1	0.483	-1
244	16	4	15	0	faces	-1	-1	1	0.283	-1
260	16	4	16	0	scenes	-1	-1	1	0.427	-1
276	16	4	17	0	scenes	-1	-1	1	0.314	-1
292	16	4	18	0	faces	1	1	1	0.378	6
308	16	4	19	0	faces	1	1	1	0.353	6
324	16	4	20	0	faces	1	1	1	0.106	4
