onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	scenes	-1	-1	1	0.407	-1
36	16	2	2	0	faces	1	1	1	0.007	3
52	16	2	3	0	scenes	1	1	1	0.382	6
68	16	2	4	0	faces	-1	-1	1	0.471	-1
84	16	2	5	0	faces	1	1	1	0.382	5
100	16	2	6	0	scenes	-1	-1	1	0.439	-1
116	16	2	7	0	scenes	1	1	1	0.239	5
132	16	2	8	0	faces	-1	-1	1	0.413	-1
148	16	2	9	0	scenes	-1	-1	1	0.421	-1
164	16	2	10	0	scenes	-1	-1	1	0.42	-1
180	16	2	11	0	scenes	-1	-1	1	0.374	-1
196	16	2	12	0	faces	-1	-1	1	0.445	-1
212	16	2	13	0	faces	1	1	1	0.372	6
228	16	2	14	0	scenes	1	1	1	0.253	4
244	16	2	15	0	faces	1	-1	0	0.484	3
260	16	2	16	0	faces	-1	-1	1	0.38	-1
276	16	2	17	0	scenes	1	1	1	0.388	5
292	16	2	18	0	faces	-1	-1	1	0.387	-1
308	16	2	19	0	scenes	-1	-1	1	0.387	-1
324	16	2	20	0	faces	-1	-1	1	0.395	-1
