onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	top	1	1	1	0.363	5
40	20	1	2	0	stay	scene	bottom	1	-1	0	0.584	6
60	28	1	3	0	switch	scene	bottom	1	1	1	0.104	3
88	20	1	4	0	stay	scene	top	-1	-1	1	0.456	-1
108	20	1	5	0	stay	scene	bottom	-1	1	0	0.464	-1
128	20	1	6	0	stay	scene	top	1	1	1	0.297	4
148	28	1	7	0	switch	scene	bottom	1	1	1	0.461	5
176	20	1	8	0	stay	scene	bottom	-1	-1	1	0.455	-1
196	20	1	9	0	stay	scene	bottom	-1	-1	1	0.374	-1
216	20	1	10	0	stay	scene	top	1	1	1	0.312	4
236	28	1	11	0	switch	scene	bottom	1	1	1	0.348	5
264	28	1	12	0	switch	scene	top	-1	-1	1	0.566	-1
292	20	1	13	0	stay	scene	top	-1	1	0	0.757	-1
312	20	1	14	0	stay	scene	bottom	1	1	1	0.006	3
332	28	1	15	0	switch	scene	top	-1	-1	1	0.453	-1
360	20	1	16	0	stay	scene	bottom	1	1	1	0.334	4
380	20	1	17	0	stay	scene	top	-1	-1	1	0.364	-1
400	28	1	18	0	switch	scene	top	-1	-1	1	0.507	-1
