onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	scenes	-1	-1	1	0.439	-1
36	16	4	2	0	scenes	-1	-1	1	0.416	-1
52	16	4	3	0	scenes	-1	-1	1	0.447	-1
68	16	4	4	0	faces	1	1	1	0.59	6
84	16	4	5	0	faces	1	1	1	0.558	3
100	16	4	6	0	faces	-1	-1	1	0.462	-1
116	16	4	7	0	scenes	1	-1	0	0.502	4
132	16	4	8	0	faces	1	1	1	0.007	3
148	16	4	9	0	scenes	1	1	1	0.109	3
164	16	4	10	0	faces	-1	-1	1	0.549	-1
180	16	4	11	0	scenes	-1	-1	1	0.477	-1
196	16	4	12	0	faces	1	1	1	0.212	5
212	16	4	13	0	faces	-1	-1	1	0.419	-1
228	16	4	14	0	scenes	1	-1	0	0.827	3
244	16	4	15	0	faces	-1	-1	1	0.379	-1
260	16	4	16	0	scenes	-1	1	0	0.563	-1
276	16	4	17	0	scenes	1	1	1	0.394	6
292	16	4	18	0	faces	-1	-1	1	0.466	-1
308	16	4	19	0	scenes	1	-1	0	0.538	3
324	16	4	20	0	faces	1	0	0	0	3
