onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	4	1	0	switch	scene	bottom	-1	-1	1	0.423	-1
48	20	4	2	0	stay	scene	top	1	1	1	0.894	5
68	28	4	3	0	switch	scene	bottom	-1	-1	1	0.485	-1
96	20	4	4	0	stay	scene	top	-1	-1	1	0.903	-1
116	20	4	5	0	stay	scene	bottom	-1	1	0	0.422	-1
136	28	4	6	0	switch	scene	top	1	0	0	0	5
164	20	4	7	0	stay	scene	bottom	1	1	1	0.654	6
184	20	4	8	0	stay	scene	bottom	-1	-1	1	0.726	-1
204	20	4	9	0	stay	scene	top	-1	-1	1	0.51	-1
224	20	4	10	0	stay	scene	bottom	-1	0	0	0	-1
244	28	4	11	0	switch	scene	top	1	1	1	0.26	5
272	20	4	12	0	stay	scene	bottom	1	1	1	0.355	4
292	28	4	13	0	switch	scene	top	1	-1	0	0.642	4
320	20	4	14	0	stay	scene	top	1	0	0	0	4
340	28	4	15	0	switch	scene	bottom	-1	1	0	0.794	-1
368	20	4	16	0	stay	scene	bottom	1	0	0	0	5
388	20	4	17	0	stay	scene	top	1	1	1	0.378	3
408	20	4	18	0	stay	scene	top	-1	-1	1	0.451	-1
