onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	-1	1	0	0.312	-1
36	16	3	2	0	faces	1	1	1	0.672	6
52	16	3	3	0	scenes	1	1	1	0.351	4
68	16	3	4	0	scenes	1	-1	0	0.632	6
84	16	3	5	0	scenes	1	1	1	0.367	5
100	16	3	6	0	faces	-1	-1	1	0.415	-1
116	16	3	7	0	scenes	-1	-1	1	0.446	-1
132	16	3	8	0	faces	-1	-1	1	0.421	-1
148	16	3	9	0	faces	-1	-1	1	0.542	-1
164	16	3	10	0	scenes	-1	-1	1	0.445	-1
180	16	3	11	0	faces	1	1	1	0.365	3
196	16	3	12	0	faces	-1	-1	1	0.437	-1
212	16	3	13	0	faces	1	1	1	0.364	6
228	16	3	14	0	scenes	1	1	1	0.348	5
244	16	3	15	0	faces	1	1	1	0.379	3
260	16	3	16	0	scenes	-1	-1	1	0.395	-1
276	16	3	17	0	scenes	-1	-1	1	0.25	-1
292	16	3	18	0	faces	-1	-1	1	0.458	-1
308	16	3	19	0	scenes	-1	-1	1	0.474	-1
324	16	3	20	0	faces	-1	-1	1	0.426	-1
