onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	-1	1	0	0.504	-1
36	16	2	2	0	faces	1	1	1	0.344	3
52	16	2	3	0	scenes	-1	-1	1	0.422	-1
68	16	2	4	0	scenes	1	1	1	0.295	3
84	16	2	5	0	scenes	1	1	1	0.287	3
100	16	2	6	0	faces	1	1	1	0.351	4
116	16	2	7	0	faces	1	1	1	0.359	4
132	16	2	8	0	faces	-1	-1	1	0.43	-1
148	16	2	9	0	scenes	-1	-1	1	0.461	-1
164	16	2	10	0	faces	-1	-1	1	0.437	-1
180	16	2	11	0	faces	-1	-1	1	0.438	-1
196	16	2	12	0	scenes	-1	-1	1	0.429	-1
212	16	2	13	0	scenes	1	1	1	0.365	5
228	16	2	14	0	faces	1	1	1	0.389	6
244	16	2	15	0	scenes	1	1	1	0.356	3
260	16	2	16	0	faces	-1	-1	1	0.54	-1
276	16	2	17	0	scenes	1	1	1	0.395	6
292	16	2	18	0	scenes	-1	-1	1	0.427	-1
308	16	2	19	0	scenes	-1	-1	1	0.459	-1
324	16	2	20	0	faces	1	-1	0	0.555	5
