onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	1	1	1	0.344	4
36	16	4	2	0	scenes	-1	-1	1	0.335	-1
52	16	4	3	0	faces	-1	-1	1	0.399	-1
68	16	4	4	0	faces	1	1	1	0.679	6
84	16	4	5	0	faces	1	1	1	0.222	5
100	16	4	6	0	scenes	1	1	1	0.366	5
116	16	4	7	0	faces	-1	-1	1	0.325	-1
132	16	4	8	0	faces	-1	-1	1	0.287	-1
148	16	4	9	0	faces	-1	1	0	0.422	-1
164	16	4	10	0	faces	1	-1	0	0.397	4
180	16	4	11	0	scenes	1	1	1	0.252	5
196	16	4	12	0	scenes	1	1	1	0.284	4
212	16	4	13	0	scenes	-1	-1	1	0.428	-1
228	16	4	14	0	faces	1	-1	0	0.309	5
244	16	4	15	0	scenes	-1	-1	1	0.444	-1
260	16	4	16	0	faces	-1	-1	1	0.46	-1
276	16	4	17	0	scenes	1	1	1	0.299	3
292	16	4	18	0	scenes	-1	-1	1	0.547	-1
308	16	4	19	0	scenes	1	1	1	0.3	4
324	16	4	20	0	scenes	-1	-1	1	0.387	-1
