onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	6	1	0	switch	scene	bottom	-1	-1	1	0.415	-1
48	20	6	2	0	stay	scene	top	-1	-1	1	0.51	-1
68	20	6	3	0	stay	scene	top	1	1	1	0.359	5
88	28	6	4	0	switch	scene	top	1	1	1	0.622	5
116	20	6	5	0	stay	scene	bottom	1	1	1	0.454	6
136	20	6	6	0	stay	scene	top	1	1	1	0.406	5
156	28	6	7	0	switch	scene	bottom	-1	-1	1	0.38	-1
184	20	6	8	0	stay	scene	top	-1	-1	1	0.613	-1
204	28	6	9	0	switch	scene	top	1	1	1	0.475	6
232	20	6	10	0	stay	scene	bottom	-1	-1	1	0.684	-1
252	20	6	11	0	stay	scene	bottom	1	1	1	0.387	5
272	20	6	12	0	stay	scene	bottom	1	1	1	0.388	6
292	20	6	13	0	stay	scene	bottom	-1	-1	1	0.436	-1
312	20	6	14	0	stay	scene	top	-1	-1	1	0.427	-1
332	28	6	15	0	switch	scene	bottom	-1	-1	1	0.458	-1
360	28	6	16	0	switch	scene	top	1	1	1	0.41	3
388	20	6	17	0	stay	scene	top	1	1	1	0.267	4
408	20	6	18	0	stay	scene	bottom	-1	-1	1	0.483	-1
