onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	bottom	-1	-1	1	0.551	-1
40	20	5	2	0	stay	scene	bottom	1	-1	0	0.456	4
60	20	5	3	0	stay	scene	top	1	1	1	0.295	5
80	20	5	4	0	stay	scene	bottom	1	1	1	0.392	3
100	28	5	5	0	switch	scene	top	-1	-1	1	0.215	-1
128	28	5	6	0	switch	scene	top	-1	-1	1	0.439	-1
156	20	5	7	0	stay	scene	top	1	1	1	0.334	3
176	28	5	8	0	switch	scene	bottom	1	-1	0	0.484	6
204	20	5	9	0	stay	scene	top	1	1	1	0.373	4
224	28	5	10	0	switch	scene	top	-1	-1	1	0.477	-1
252	20	5	11	0	stay	scene	top	-1	-1	1	0.412	-1
272	28	5	12	0	switch	scene	bottom	1	1	1	0.397	5
300	20	5	13	0	stay	scene	bottom	-1	-1	1	0.421	-1
320	20	5	14	0	stay	scene	top	-1	1	0	0.389	-1
340	28	5	15	0	switch	scene	bottom	1	-1	0	0.42	5
368	20	5	16	0	stay	scene	bottom	-1	1	0	0.435	-1
388	20	5	17	0	stay	scene	top	-1	-1	1	0.636	-1
408	20	5	18	0	stay	scene	bottom	1	1	1	0.306	3
