onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	-1	-1	1	0.454	-1
36	16	2	2	0	faces	-1	-1	1	0.406	-1
52	16	2	3	0	faces	1	1	1	0.51	5
68	16	2	4	0	faces	-1	-1	1	0.502	-1
84	16	2	5	0	scenes	-1	-1	1	0.494	-1
100	16	2	6	0	scenes	-1	-1	1	0.429	-1
116	16	2	7	0	faces	-1	-1	1	0.468	-1
132	16	2	8	0	scenes	-1	-1	1	0.54	-1
148	16	2	9	0	scenes	-1	1	0	0.475	-1
164	16	2	10	0	scenes	1	1	1	0.428	4
180	16	2	11	0	scenes	-1	-1	1	0.515	-1
196	16	2	12	0	faces	1	1	1	0.491	4
212	16	2	13	0	scenes	-1	-1	1	0.531	-1
228	16	2	14	0	scenes	1	1	1	0.482	6
244	16	2	15	0	scenes	1	1	1	0.499	6
260	16	2	16	0	faces	-1	-1	1	0.499	-1
276	16	2	17	0	faces	-1	-1	1	0.467	-1
292	16	2	18	0	faces	1	1	1	0.443	4
308	16	2	19	0	faces	1	1	1	0.681	6
324	16	2	20	0	scenes	1	1	1	0.417	6
