onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	1	1	1	0.446	3
36	16	4	2	0	faces	-1	-1	1	0.679	-1
52	16	4	3	0	faces	-1	-1	1	0.503	-1
68	16	4	4	0	scenes	1	1	1	0.558	3
84	16	4	5	0	faces	1	-1	0	0.43	4
100	16	4	6	0	scenes	-1	1	0	0.437	-1
116	16	4	7	0	faces	-1	-1	1	0.453	-1
132	16	4	8	0	scenes	-1	-1	1	0.404	-1
148	16	4	9	0	faces	1	1	1	0.372	5
164	16	4	10	0	scenes	1	1	1	0.468	6
180	16	4	11	0	scenes	-1	0	0	0	-1
196	16	4	12	0	faces	-1	-1	1	0.356	-1
212	16	4	13	0	faces	1	-1	0	0.38	3
228	16	4	14	0	faces	-1	1	0	0.459	-1
244	16	4	15	0	faces	-1	-1	1	0.411	-1
260	16	4	16	0	scenes	1	1	1	0.427	3
276	16	4	17	0	scenes	-1	-1	1	0.451	-1
292	16	4	18	0	scenes	-1	-1	1	0.418	-1
308	16	4	19	0	scenes	1	1	1	0.481	5
324	16	4	20	0	scenes	-1	-1	1	0.554	-1
