onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	bottom	-1	1	0	0.448	-1
40	20	2	2	0	stay	scene	bottom	1	0	0	0	6
60	28	2	3	0	switch	scene	bottom	-1	-1	1	0.374	-1
88	20	2	4	0	stay	scene	bottom	-1	-1	1	0.478	-1
108	20	2	5	0	stay	scene	top	-1	-1	1	0.43	-1
128	28	2	6	0	switch	scene	top	1	1	1	0.413	4
156	20	2	7	0	stay	scene	top	-1	-1	1	0.397	-1
176	20	2	8	0	stay	scene	top	-1	-1	1	0.446	-1
196	20	2	9	0	stay	scene	bottom	-1	-1	1	0.66	-1
216	20	2	10	0	stay	scene	top	1	-1	0	0.413	4
236	28	2	11	0	switch	scene	top	1	1	1	0.451	4
264	20	2	12	0	stay	scene	top	1	-1	0	0.388	5
284	20	2	13	0	stay	scene	top	1	1	1	0.372	3
304	20	2	14	0	stay	scene	bottom	1	-1	0	0.476	3
324	28	2	15	0	switch	scene	bottom	-1	-1	1	0.441	-1
352	28	2	16	0	switch	scene	top	1	-1	0	0.466	4
380	20	2	17	0	stay	scene	bottom	1	1	1	0.306	5
400	28	2	18	0	switch	scene	bottom	-1	-1	1	0.314	-1
